date,VNINDEX,SSI,HCM,REE,PVT
2/10/20,909.91,17.75,21.8,40.15,14.1
1/10/20,914.09,17.8,22.15,41.8,13.6
9/30/20,905.21,16.95,21,40.2,13.45
9/29/20,903.98,16.75,20.75,39.95,13.5
9/28/20,912.5,16.9,20.7,40.3,13.65
9/25/20,908.27,16.45,20.2,40.4,13.15
9/24/20,908.58,16.55,20.7,40.4,13.15
9/23/20,912.5,16.7,20.7,40.05,12.75
9/22/20,906.19,16.55,20.55,40.4,12.4
9/21/20,907.94,16.5,20.6,40.4,12.4
9/18/20,900.95,16.3,20.7,40.3,12.45
9/17/20,894.04,16,20.3,39.9,12.4
9/16/20,897.47,15.9,20.25,39,12.55
9/15/20,896.26,15.8,19.95,38.95,12.1
9/14/20,894.57,15.75,19.7,39.3,11.6
11/9/20,888.97,15.75,19.8,38.7,11.6
10/9/20,888.82,15.85,19.85,39,11.6
9/9/20,889.32,15.85,19.7,37.15,11.5
8/9/20,890.14,15.8,19.6,36.7,11.65
7/9/20,888.25,15.35,19.15,36.6,11.4
3/9/20,903.97,15.25,19,37.5,11.85
1/9/20,891.73,15.1,18.8,37,11.9
8/31/20,881.65,14.9,18.55,36.9,11.6
8/28/20,878.98,15.1,18.85,36.85,11.35
8/27/20,874.71,15.1,18.75,36.75,11.2
8/26/20,873.47,15.05,18.6,36.45,11.2
8/25/20,874.12,15,18.35,36.85,10.9
8/24/20,868.68,15,18.4,35.95,11
8/21/20,854.78,14.7,18.05,35.6,10.9
8/20/20,848.21,14.35,17.6,35.3,10.85
8/19/20,851.21,14.55,17.8,35.3,11
8/18/20,846.43,14.4,17.6,35.25,11
8/17/20,850.15,14.5,17.7,35,10.8
8/14/20,850.74,14.6,17.9,35.3,10.6
8/13/20,855.05,14.85,18.2,35.3,10.85
12/8/20,846.92,14.65,17.75,34.55,10.85
11/8/20,843.08,14.7,17.85,34.5,10.3
10/8/20,843.2,14.4,17.35,34.55,10.2
7/8/20,841.46,14.25,17.15,34.6,10.15
6/8/20,840.04,14.35,17.25,34.15,10.2
5/8/20,837.8,14.5,17.4,34.1,10.2
4/8/20,827.57,14.35,17.25,33.7,9.9
3/8/20,814.65,14.1,17.15,33.7,9.6
7/31/20,798.39,13.55,16.5,32.45,9.35
7/30/20,801.13,13.75,16.6,32.45,9.4
7/29/20,790.84,13.55,16.55,32,9.4
7/28/20,813.36,14.2,17.15,32.3,9.55
7/27/20,785.17,13.3,16.05,31.7,8.93
7/24/20,829.16,14.3,17.25,32.5,9.6
7/23/20,856.75,14.9,18.35,33.6,10.3
7/22/20,855.08,15.05,18.5,32.35,10.3
7/21/20,861.69,15.25,18.75,32.65,10.4
7/20/20,861.4,15.45,18.8,32.4,10.4
7/17/20,872.02,15.7,19.3,32.65,10.55
7/16/20,876.83,15.61,19.2,33.1,10.6
7/15/20,869.91,15.56,19.25,33.05,10.45
7/14/20,868.11,15.7,19.5,32.9,10.5
7/13/20,868.72,14.99,19.15,32.9,10.4
10/7/20,871.21,14.99,19.35,32,10.45
9/7/20,876.46,14.9,19.3,32.1,10.45
8/7/20,864.5,14.76,18.95,32,10.4
7/7/20,863.42,14.62,18.61,31.85,10.45
6/7/20,861.16,14.67,18.81,31.95,10.5
3/7/20,847.61,14.24,18.32,31.75,10.35
2/7/20,842.38,14.24,18.37,30.95,10.5
1/7/20,843.49,14.38,18.37,30.85,10.6
6/30/20,825.11,13.91,17.7,30.65,10.6
6/29/20,829.36,13.91,17.7,30.7,10.6
6/26/20,851.98,14.57,18.47,31.2,10.75
6/25/20,854.59,14.85,18.85,31.1,10.85
6/24/20,859.71,14.81,19,31.35,10.9
6/23/20,868.2,15.14,19.67,31.35,10.95
6/22/20,871.28,14.29,18.71,31.25,11.15
6/19/20,868.56,14.38,18.71,31.4,10.75
6/18/20,855.27,14.1,17.89,30.9,10.65
6/17/20,854.44,14.1,18.08,30.65,10.75
6/16/20,856.13,14.29,18.08,30.7,10.7
6/15/20,832.47,13.58,17.31,30.25,10.35
12/6/20,863.52,14.57,18.56,30.8,10.75
11/6/20,867.37,14.01,18.56,30.5,10.9
10/6/20,900.68,15.04,19.91,31.95,11.7
9/6/20,899.43,14.9,19.96,31.95,11.65
8/6/20,899.92,15.09,20.01,32.15,11.75
5/6/20,886.22,14.76,19.29,32,11.55
4/6/20,883.9,14.76,19,32,11.45
3/6/20,881.17,14.29,18.56,31.7,11.7
2/6/20,874.8,14.15,18.37,31.65,11.2
1/6/20,878.67,14.29,18.81,31.7,10.95
5/29/20,864.47,13.91,18.13,31.25,10.85
5/28/20,861.39,13.96,18.23,31.45,10.95
5/27/20,857.48,14.01,18.13,31.55,11
5/26/20,869.13,14.43,19.14,32.5,11.15
5/25/20,859.04,13.68,18.32,31.2,10.6
5/22/20,852.74,13.44,17.84,31.2,10.5
5/21/20,862.73,13.49,17.84,31.8,10.7
5/20/20,852.91,13.44,17.84,31.4,10.75
5/19/20,845.92,13.44,18.03,31.45,10.9
5/18/20,837.01,13.3,18.03,31.35,10.85
5/15/20,827.03,13.11,17.75,31.4,10.75
5/14/20,832.4,13.4,17.89,31.95,10.9
5/13/20,834.21,13.21,17.36,32,11
12/5/20,835.32,13.35,17.46,31.3,10.65
11/5/20,828.33,13.3,17.55,30.7,10.5
8/5/20,813.73,12.69,16.64,30.6,10.15
7/5/20,796.54,12.41,16.3,30.6,10.1
6/5/20,782.59,12.17,15.82,30.4,9.97
5/5/20,764.16,11.89,15.33,30,9.72
4/5/20,762.47,11.94,14.95,29.6,9.65
4/29/20,769.11,12.22,15.91,30,9.83
4/28/20,767.21,12.17,16.2,30.35,9.66
4/27/20,770.77,12.32,16.39,30.5,10
4/24/20,776.66,12.46,16.54,30.6,10.25
4/23/20,773.91,12.5,16.3,29.5,10.1
4/22/20,768.92,12.5,16.15,29.45,10.25
4/21/20,766.84,12.08,15.14,29.3,10.25
4/20/20,794.97,12.88,15.86,30.85,11
