,sticker,name
1,AAA,Công ty Cổ phần Nhựa An Phát Xanh
2,ANV,Công ty Cổ phần Nam Việt
3,ASM,Công ty Cổ phần Tập đoàn Sao Mai
4,AST,Công ty Cổ phần Dịch vụ Hàng không Taseco
5,BIC,Tổng Công ty Bảo hiểm Ngân hàng Đầu tư và Phát triển Việt Nam
6,BID,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam
7,BMI,Tổng Công ty Cổ phần Bảo Minh
8,BMP,Công ty Cổ phần Nhựa Bình Minh
9,BWE,Công ty Cổ phần Nước – Môi trường Bình Dương
10,CII,Công ty Cổ phần Đầu tư Hạ tầng Kỹ thuật TP.HCM
11,CMG,Công ty Cổ phần Tập đoàn Công nghệ CMC
12,CRE,Công ty Cổ phần Bất động sản Thế Kỷ
13,CSM,Công ty Cổ phần Công nghiệp Cao su Miền Nam
14,CTD,Công ty Cổ phần Xây dựng COTECCONS
15,CTG,Ngân hàng Thương mại Cổ phần Công Thương Việt Nam
16,DBD,Công ty Cổ phần Dược - Trang thiết bị Y tế Bình Định
17,DCM,Công ty Cổ phần Phân bón Dầu khí Cà Mau
18,DHC,Công ty Cổ phần Đông Hải Bến Tre
19,DIG,Tổng Công ty Cổ phần Đầu tư Phát triển Xây dựng
20,DPG,Công ty Cổ phần Đạt Phương
21,DPM,Tổng Công ty Phân bón và Hóa chất Dầu khí - Công ty Cổ phần
22,DPR,Công ty Cổ phần Cao su Đồng Phú
23,DRC,Công ty Cổ phần Cao su Đà Nẵng
24,DXG,Công ty Cổ phần Tập đoàn Đất Xanh
25,EIB,Ngân hàng Thương mại Cổ phần Xuất Nhập khẩu Việt Nam
26,FLC,Công ty Cổ phần Tập đoàn FLC
27,FPT,Công ty Cổ phần FPT
28,FRT,Công ty Cổ phần Bán lẻ Kỹ thuật số FPT
29,GAS,Tổng Công ty Khí Việt Nam - Công ty Cổ phần
30,GEG,Công ty Cổ phần Điện Gia Lai
31,GEX,Tổng Công ty Cổ phần Thiết bị điện Việt Nam
32,GMD,Công ty Cổ phần GEMADEPT
33,HAG,Công ty Cổ phần Hoàng Anh Gia Lai
34,HBC,Công ty Cổ phần Tập đoàn Xây dựng Hòa Bình
35,HCM,Công ty Cổ phần Chứng khoán Thành phố Hồ Chí Minh
36,HDB,Ngân hàng TMCP Phát triển TP.Hồ Chí Minh
37,HDG,Công ty Cổ phần Tập đoàn Hà Đô
38,HPG,Công ty Cổ phần Tập đoàn Hòa Phát
39,HPX,Công ty Cổ phần Đầu tư Hải Phát
40,HSG,Công ty Cổ phần Tập đoàn Hoa Sen
41,HT1,Công ty Cổ phần Xi măng Hà Tiên 1
42,IMP,Công ty Cổ phần Dược phẩm Imexpharm
43,ITA,Công ty Cổ phần Đầu tư và Công nghiệp Tân Tạo
44,KBC,Tổng Công ty Phát triển Đô Thị Kinh Bắc – Công ty Cổ phần
45,KDC,Công ty Cổ phần Tập đoàn Kido
46,KDH,Công ty Cổ phần Đầu tư và Kinh doanh Nhà Khang Điền
47,KOS,Công ty Cổ phần KOSY
48,LDG,Công ty Cổ phần Đầu tư LDG
49,MBB,Ngân hàng Thương mại Cổ phần Quân Đội
50,MSH,Công ty Cổ phần May Sông Hồng
51,MSN,Công ty Cổ phần Tập đoàn MaSan
52,MWG,Công ty Cổ phần Đầu tư Thế Giới Di Động
53,NBB,Công ty Cổ phần Đầu tư Năm Bảy Bảy
54,NCT,Công ty Cổ phần Dịch vụ Hàng hóa Nội Bài
55,NLG,Công ty Cổ phần Đầu tư Nam Long
56,NT2,Công ty Cổ phần Điện lực Dầu khí Nhơn Trạch 2
57,NVL,Công ty Cổ phần Tập đoàn Đầu tư Địa ốc No Va
58,PAN,Công ty Cổ phần Tập đoàn PAN
59,PC1,Công ty Cổ phần Xây lắp Điện I
60,PDR,Công ty Cổ phần Phát triển Bất động sản Phát Đạt
61,PHR,Công ty Cổ phần Cao su Phước Hòa
62,PLX,Tập đoàn Xăng dầu Việt Nam
63,PME,Công ty Cổ phần Pymepharco
64,PNJ,Công ty Cổ phần Vàng bạc Đá quý Phú Nhuận
65,PNJ,Công ty Cổ phần Vàng bạc Đá quý Phú Nhuận
66,POW,Tổng Công ty Điện lực Dầu khí Việt Nam - CTCP
67,POW,Tổng Công ty Điện lực Dầu khí Việt Nam - CTCP
68,PPC,Công ty Cổ phần Nhiệt điện Phả Lại
69,PPC,Công ty Cổ phần Nhiệt điện Phả Lại
70,PTB,Công ty Cổ phần Phú Tài
71,PTB,Công ty Cổ phần Phú Tài
72,PVD,Tổng Công ty Cổ phần Khoan và Dịch vụ Khoan Dầu khí
73,PVD,Tổng Công ty Cổ phần Khoan và Dịch vụ Khoan Dầu khí
74,PVT,Tổng Công ty Cổ phần Vận tải Dầu khí
75,PVT,Tổng Công ty Cổ phần Vận tải Dầu khí
76,REE,Công ty Cổ phần Cơ Điện Lạnh
77,REE,Công ty Cổ phần Cơ Điện Lạnh
78,ROS,Công ty Cổ phần Xây dựng FLC FAROS
79,ROS,Công ty Cổ phần Xây dựng FLC FAROS
80,SAB,Tổng Công ty Cổ phần Bia – Rượu – Nước giải khát Sài Gòn
81,SAB,Tổng Công ty Cổ phần Bia – Rượu – Nước giải khát Sài Gòn
82,SAM,Công ty Cổ phần SAM Holdings
83,SAM,Công ty Cổ phần SAM Holdings
