,sticker,name
1,AAA,Công ty Cổ phần Nhựa An Phát Xanh
2,ACL,Công ty Cổ phần Xuất Nhập Khẩu Thủy sản Cửu Long An Giang
3,ADS,Công ty Cổ phần Damsan
4,AGM,Công ty Cổ phần Xuất Nhập Khẩu An Giang
5,AGR,Công ty Cổ phần Chứng khoán Agribank
6,AMD,Công ty Cổ phần Đầu tư và Khoáng sản FLC Stone
7,ANV,Công ty Cổ phần Nam Việt
8,APC,Công ty Cổ phần Chiếu xạ An Phú
9,APG,Công ty Cổ phần Chứng khoán APG
10,ASM,Công ty Cổ phần Tập đoàn Sao Mai
11,ASP,Công ty Cổ phần Tập đoàn Dầu khí An Pha
12,AST,Công ty Cổ phần Dịch vụ Hàng không Taseco
13,BCE,Công ty Cổ phần Xây dựng và Giao thông Bình Dương
14,BCG,Công ty Cổ phần Bamboo Capital
15,BFC,Công ty Cổ phần Phân bón Bình Điền
16,BIC,Tổng Công ty Bảo hiểm Ngân hàng Đầu tư và Phát triển Việt Nam
17,BID,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam
18,BMC,Công ty Cổ phần Khoáng sản Bình Định
19,BMI,Tổng Công ty Cổ phần Bảo Minh
20,BMP,Công ty Cổ phần Nhựa Bình Minh
21,BSI,Công ty Cổ phần Chứng khoán Ngân hàng Đầu tư và Phát triển Việt Nam
22,BTP,Công ty Cổ phần Nhiệt điện Bà Rịa
23,BWE,Công ty Cổ phần Nước – Môi trường Bình Dương
24,C32,Công ty Cổ phần CIC39
25,C47,Công ty Cổ phần Xây dựng 47
26,CCL,Công ty Cổ phần Đầu tư và Phát triển Đô thị Dầu khí Cửu Long
27,CEE,Công ty Cổ phần Xây dựng Hạ tầng CII
28,CII,Công ty Cổ phần Đầu tư Hạ tầng Kỹ thuật TP.HCM
29,CMG,Công ty Cổ phần Tập đoàn Công nghệ CMC
30,CMX,Công ty Cổ phần Camimex Group
31,CNG,Công ty Cổ phần CNG Việt Nam
32,CRC,Công ty Cổ phần Create Capital Việt Nam
33,CRE,Công ty Cổ phần Bất động sản Thế Kỷ
34,CSM,Công ty Cổ phần Công nghiệp Cao su Miền Nam
35,CSV,Công ty Cổ phần Hóa chất cơ bản miền Nam
36,CTD,Công ty Cổ phần Xây dựng COTECCONS
37,CTF,Công ty Cổ phần City Auto
38,CTG,Ngân hàng Thương mại Cổ phần Công Thương Việt Nam
39,CTI,Công ty Cổ phần Đầu tư Phát triển Cường Thuận IDICO
40,CTS,Công ty Cổ phần Chứng khoán Ngân hàng Công Thương Việt Nam
41,CVT,Công ty Cổ phần CMC
42,D2D,Công ty Cổ phần Phát triển Đô thị Công nghiệp số 2
