,sticker,name
1,AAA,Công ty Cổ phần Nhựa An Phát Xanh
2,ANV,Công ty Cổ phần Nam Việt
3,ASM,Công ty Cổ phần Tập đoàn Sao Mai
4,AST,Công ty Cổ phần Dịch vụ Hàng không Taseco
5,BIC,Tổng Công ty Bảo hiểm Ngân hàng Đầu tư và Phát triển Việt Nam
6,BMI,Tổng Công ty Cổ phần Bảo Minh
7,BMP,Công ty Cổ phần Nhựa Bình Minh
8,BWE,Công ty Cổ phần Nước – Môi trường Bình Dương
9,CII,Công ty Cổ phần Đầu tư Hạ tầng Kỹ thuật TP.HCM
10,CMG,Công ty Cổ phần Tập đoàn Công nghệ CMC
11,CRE,Công ty Cổ phần Bất động sản Thế Kỷ
12,CSM,Công ty Cổ phần Công nghiệp Cao su Miền Nam
13,CTD,Công ty Cổ phần Xây dựng COTECCONS
14,DBD,Công ty Cổ phần Dược - Trang thiết bị Y tế Bình Định
15,DCM,Công ty Cổ phần Phân bón Dầu khí Cà Mau
16,DHC,Công ty Cổ phần Đông Hải Bến Tre
17,DIG,Tổng Công ty Cổ phần Đầu tư Phát triển Xây dựng
18,DPG,Công ty Cổ phần Đạt Phương
19,DPM,Tổng Công ty Phân bón và Hóa chất Dầu khí - Công ty Cổ phần
20,DPR,Công ty Cổ phần Cao su Đồng Phú
21,DRC,Công ty Cổ phần Cao su Đà Nẵng
22,DXG,Công ty Cổ phần Tập đoàn Đất Xanh
23,FLC,Công ty Cổ phần Tập đoàn FLC
24,FRT,Công ty Cổ phần Bán lẻ Kỹ thuật số FPT
25,GEG,Công ty Cổ phần Điện Gia Lai
26,GEX,Tổng Công ty Cổ phần Thiết bị điện Việt Nam
27,GMD,Công ty Cổ phần GEMADEPT
28,HAG,Công ty Cổ phần Hoàng Anh Gia Lai
29,HBC,Công ty Cổ phần Tập đoàn Xây dựng Hòa Bình
30,HCM,Công ty Cổ phần Chứng khoán Thành phố Hồ Chí Minh
31,HDG,Công ty Cổ phần Tập đoàn Hà Đô
32,HPX,Công ty Cổ phần Đầu tư Hải Phát
33,HSG,Công ty Cổ phần Tập đoàn Hoa Sen
34,HT1,Công ty Cổ phần Xi măng Hà Tiên 1
35,IMP,Công ty Cổ phần Dược phẩm Imexpharm
36,ITA,Công ty Cổ phần Đầu tư và Công nghiệp Tân Tạo
37,KBC,Tổng Công ty Phát triển Đô Thị Kinh Bắc – Công ty Cổ phần
38,KDC,Công ty Cổ phần Tập đoàn Kido
39,KOS,Công ty Cổ phần KOSY
40,LDG,Công ty Cổ phần Đầu tư LDG
41,MSH,Công ty Cổ phần May Sông Hồng
42,NBB,Công ty Cổ phần Đầu tư Năm Bảy Bảy
43,NCT,Công ty Cổ phần Dịch vụ Hàng hóa Nội Bài
44,NLG,Công ty Cổ phần Đầu tư Nam Long
45,NT2,Công ty Cổ phần Điện lực Dầu khí Nhơn Trạch 2
46,PAN,Công ty Cổ phần Tập đoàn PAN
47,PC1,Công ty Cổ phần Xây lắp Điện I
48,PDR,Công ty Cổ phần Phát triển Bất động sản Phát Đạt
49,PHR,Công ty Cổ phần Cao su Phước Hòa
50,PME,Công ty Cổ phần Pymepharco
51,PPC,Công ty Cổ phần Nhiệt điện Phả Lại
52,PTB,Công ty Cổ phần Phú Tài
53,PVD,Tổng Công ty Cổ phần Khoan và Dịch vụ Khoan Dầu khí
54,PVT,Tổng Công ty Cổ phần Vận tải Dầu khí
55,SAM,Công ty Cổ phần SAM Holdings
56,SCR,Công ty Cổ phần Địa ốc Sài Gòn Thương Tín
57,SCS,Công ty Cổ phần Dịch vụ Hàng hóa Sài Gòn
58,SGN,Công ty Cổ phần Phục vụ Mặt đất Sài Gòn
59,SJS,Công ty Cổ phần Đầu tư Phát triển Đô thị và Khu công nghiệp Sông Đà
60,TDM,Công ty Cổ phần Nước Thủ Dầu Một
61,TLG,Công ty Cổ phần Tập đoàn Thiên Long
62,TPB,Ngân hàng Thương mại Cổ phần Tiên Phong
63,TV2,Công ty Cổ phần Tư vấn Xây dựng Điện 2
64,VCI,Công ty Cổ phần Chứng khoán Bản Việt
65,VGC,Tổng Công ty Viglacera - CTCP
66,VHC,Công ty Cổ phần Vĩnh Hoàn
67,VND,Công ty Cổ phần Chứng khoán VNDIRECT
68,VNG,Công ty Cổ phần Du lịch Thành Thành Công
69,VPI,Công ty Cổ phần Đầu tư Văn Phú - Invest
70,YEG,Công ty Cổ phần Tập đoàn Yeah1
