,sticker,name
1,ACL,Công ty Cổ phần Xuất Nhập Khẩu Thủy sản Cửu Long An Giang
2,ADS,Công ty Cổ phần Damsan
3,AGM,Công ty Cổ phần Xuất Nhập Khẩu An Giang
4,AGR,Công ty Cổ phần Chứng khoán Agribank
5,AMD,Công ty Cổ phần Đầu tư và Khoáng sản FLC Stone
6,APC,Công ty Cổ phần Chiếu xạ An Phú
7,APG,Công ty Cổ phần Chứng khoán APG
8,ASP,Công ty Cổ phần Tập đoàn Dầu khí An Pha
9,BCE,Công ty Cổ phần Xây dựng và Giao thông Bình Dương
10,BCG,Công ty Cổ phần Bamboo Capital
11,BFC,Công ty Cổ phần Phân bón Bình Điền
12,BMC,Công ty Cổ phần Khoáng sản Bình Định
13,BSI,Công ty Cổ phần Chứng khoán Ngân hàng Đầu tư và Phát triển Việt Nam
14,BTP,Công ty Cổ phần Nhiệt điện Bà Rịa
15,C32,Công ty Cổ phần CIC39
16,C47,Công ty Cổ phần Xây dựng 47
17,CCL,Công ty Cổ phần Đầu tư và Phát triển Đô thị Dầu khí Cửu Long
18,CEE,Công ty Cổ phần Xây dựng Hạ tầng CII
19,CMX,Công ty Cổ phần Camimex Group
20,CNG,Công ty Cổ phần CNG Việt Nam
21,CRC,Công ty Cổ phần Create Capital Việt Nam
22,CSV,Công ty Cổ phần Hóa chất cơ bản miền Nam
23,CTF,Công ty Cổ phần City Auto
24,CTI,Công ty Cổ phần Đầu tư Phát triển Cường Thuận IDICO
25,CTS,Công ty Cổ phần Chứng khoán Ngân hàng Công Thương Việt Nam
26,CVT,Công ty Cổ phần CMC
27,D2D,Công ty Cổ phần Phát triển Đô thị Công nghiệp số 2
28,DAG,Công ty Cổ phần Tập đoàn Nhựa Đông Á
29,DAH,Công ty Cổ phần Tập đoàn Khách sạn Đông Á
30,DBC,Công ty Cổ phần Tập đoàn DABACO Việt Nam
31,DCL,Công ty Cổ phần Dược phẩm Cửu Long
32,DGW,Công ty Cổ phần Thế Giới Số
33,DHA,Công ty Cổ phần Hóa An
34,DHM,Công ty Cổ phần Thương mại & Khai thác Khoáng sản Dương Hiếu
35,DLG,Công ty Cổ phần Tập đoàn Đức Long Gia Lai
36,DMC,Công ty Cổ phần Xuất nhập khẩu Y tế DOMESCO
37,DQC,Công ty Cổ phần Bóng đèn Điện Quang
38,DRH,Công ty Cổ phần DRH Holdings
39,DSN,Công ty Cổ phần Công viên nước Đầm Sen
40,DTA,Công ty Cổ phần Đệ Tam
41,DVP,Công ty Cổ phần Đầu tư và Phát triển Cảng Đình Vũ
42,DXV,Công ty Cổ phần Vicem Vật liệu Xây dựng Đà Nẵng
