,sticker,name
1,ADS,Công ty Cổ phần Damsan
2,AST,Công ty Cổ phần Dịch vụ Hàng không Taseco
3,CSM,Công ty Cổ phần Công nghiệp Cao su Miền Nam
4,CTF,Công ty Cổ phần City Auto
5,DAH,Công ty Cổ phần Tập đoàn Khách sạn Đông Á
6,DRC,Công ty Cổ phần Cao su Đà Nẵng
7,DSN,Công ty Cổ phần Công viên nước Đầm Sen
8,EVE,Công ty Cổ phần Everpia
9,FRT,Công ty Cổ phần Bán lẻ Kỹ thuật số FPT
10,FTM,Công ty Cổ phần Đầu tư và Phát triển Đức Quân
11,GDT,Công ty Cổ phần Chế biến Gỗ Đức Thành
12,GIL,Công ty Cổ phần Sản xuất Kinh doanh Xuất nhập khẩu Bình Thạnh
13,GMC,Công ty Cổ phần Garmex Sài Gòn
14,HAX,Công ty Cổ phần Dịch vụ Ô tô Hàng Xanh
15,IBC,Công ty Cổ phần Đầu tư Apax Holdings
16,KMR,Công ty Cổ phần MIRAE
17,MSH,Công ty Cổ phần May Sông Hồng
18,MWG,Công ty Cổ phần Đầu tư Thế Giới Di Động
19,PAC,Công ty Cổ phần Pin Ắc quy miền Nam
20,PNJ,Công ty Cổ phần Vàng bạc Đá quý Phú Nhuận
21,SAV,Công ty Cổ phần Hợp tác Kinh tế và Xuất nhập khẩu Savimex
22,SBV,Công ty Cổ phần Siam Brothers Việt Nam
23,SRC,Công ty Cổ phần Cao su Sao Vàng
24,STK,Công ty Cổ phần Sợi Thế Kỷ
25,SVC,Công ty Cổ phần Dịch vụ Tổng hợp Sài Gòn
26,TCM,Công ty Cổ phần Dệt may - Đầu tư - Thương mại Thành Công
27,TCT,Công ty Cổ phần Cáp treo Núi Bà Tây Ninh
28,TVT,Tổng Công ty Việt Thắng - CTCP
29,VNG,Công ty Cổ phần Du lịch Thành Thành Công
