,sticker,name
1,ACL,Công ty Cổ phần Xuất Nhập Khẩu Thủy sản Cửu Long An Giang
2,AGM,Công ty Cổ phần Xuất Nhập Khẩu An Giang
3,ANV,Công ty Cổ phần Nam Việt
4,CMX,Công ty Cổ phần Camimex Group
5,DBC,Công ty Cổ phần Tập đoàn DABACO Việt Nam
6,FMC,Công ty Cổ phần Thực phẩm Sao Ta
7,HAG,Công ty Cổ phần Hoàng Anh Gia Lai
8,IDI,Công ty Cổ phần Đầu tư và Phát triển Đa Quốc Gia I.D.I
9,KDC,Công ty Cổ phần Tập đoàn Kido
10,LIX,Công ty Cổ phần Bột giặt LIX
11,LSS,Công ty Cổ phần Mía đường Lam Sơn
12,MSN,Công ty Cổ phần Tập đoàn MaSan
13,PAN,Công ty Cổ phần Tập đoàn PAN
14,SAB,Tổng Công ty Cổ phần Bia – Rượu – Nước giải khát Sài Gòn
15,SBT,Công ty Cổ phần Thành Thành Công - Biên Hòa
16,SCD,Công ty Cổ phần Nước giải khát Chương Dương
17,SJF,Công ty Cổ phần Đầu tư Sao Thái Dương
18,SMB,Công ty Cổ phần Bia Sài Gòn - Miền Trung
19,TAC,Công ty Cổ phần Dầu thực vật Tường An
20,TS4,Công ty Cổ phần Thủy sản số 4
21,VHC,Công ty Cổ phần Vĩnh Hoàn
22,VNM,Công ty Cổ phần Sữa Việt Nam
