,sticker,name
1,AGR,Công ty Cổ phần Chứng khoán Agribank
2,APG,Công ty Cổ phần Chứng khoán APG
3,BIC,Tổng Công ty Bảo hiểm Ngân hàng Đầu tư và Phát triển Việt Nam
4,BID,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam
5,BMI,Tổng Công ty Cổ phần Bảo Minh
6,BSI,Công ty Cổ phần Chứng khoán Ngân hàng Đầu tư và Phát triển Việt Nam
7,CTG,Ngân hàng Thương mại Cổ phần Công Thương Việt Nam
8,CTS,Công ty Cổ phần Chứng khoán Ngân hàng Công Thương Việt Nam
9,EIB,Ngân hàng Thương mại Cổ phần Xuất Nhập khẩu Việt Nam
10,FIT,Công ty Cổ phần Tập đoàn F.I.T
11,FTS,Công ty Cổ phần Chứng khoán FPT
12,HCM,Công ty Cổ phần Chứng khoán Thành phố Hồ Chí Minh
13,HDB,Ngân hàng TMCP Phát triển TP.Hồ Chí Minh
14,MBB,Ngân hàng Thương mại Cổ phần Quân Đội
15,SSI,Công ty Cổ phần Chứng khoán SSI
16,STB,Ngân hàng Thương mại Cổ phần Sài Gòn Thương Tín
17,TCB,Ngân hàng TMCP Kỹ Thương Việt Nam
18,TPB,Ngân hàng Thương mại Cổ phần Tiên Phong
19,TVB,Công ty Cổ phần Chứng khoán Trí Việt
20,VCB,Ngân hàng TMCP Ngoại Thương Việt Nam
21,VCI,Công ty Cổ phần Chứng khoán Bản Việt
22,VND,Công ty Cổ phần Chứng khoán VNDIRECT
23,VPB,Ngân hàng TMCP Việt Nam Thịnh Vượng
