,sticker,name
1,AMD,Công ty Cổ phần Đầu tư và Khoáng sản FLC Stone
2,APC,Công ty Cổ phần Chiếu xạ An Phú
3,BCE,Công ty Cổ phần Xây dựng và Giao thông Bình Dương
4,BCG,Công ty Cổ phần Bamboo Capital
5,BMP,Công ty Cổ phần Nhựa Bình Minh
6,C32,Công ty Cổ phần CIC39
7,C47,Công ty Cổ phần Xây dựng 47
8,CEE,Công ty Cổ phần Xây dựng Hạ tầng CII
9,CII,Công ty Cổ phần Đầu tư Hạ tầng Kỹ thuật TP.HCM
10,CTD,Công ty Cổ phần Xây dựng COTECCONS
11,DAG,Công ty Cổ phần Tập đoàn Nhựa Đông Á
12,DIG,Tổng Công ty Cổ phần Đầu tư Phát triển Xây dựng
13,DLG,Công ty Cổ phần Tập đoàn Đức Long Gia Lai
14,DPG,Công ty Cổ phần Đạt Phương
15,DQC,Công ty Cổ phần Bóng đèn Điện Quang
16,DVP,Công ty Cổ phần Đầu tư và Phát triển Cảng Đình Vũ
17,EVG,Công ty Cổ phần Tập đoàn Everland
18,FCN,Công ty Cổ phần FECON
19,GEX,Tổng Công ty Cổ phần Thiết bị điện Việt Nam
20,GMD,Công ty Cổ phần GEMADEPT
21,HAH,Công ty Cổ phần Vận tải và Xếp dỡ Hải An
22,HBC,Công ty Cổ phần Tập đoàn Xây dựng Hòa Bình
23,HCD,Công ty Cổ phần Đầu tư Sản xuất và Thương mại HCD
24,HDG,Công ty Cổ phần Tập đoàn Hà Đô
25,HHS,Công ty Cổ phần Đầu tư Dịch vụ Hoàng Huy
26,HUB,Công ty Cổ phần Xây lắp Thừa Thiên Huế
27,HVH,Công ty Cổ phần Đầu tư và Công nghệ HVC
28,IJC,Công ty Cổ phần Phát triển Hạ tầng Kỹ thuật
29,ILB,Công ty Cổ phần ICD Tân Cảng - Long Bình
30,ITA,Công ty Cổ phần Đầu tư và Công nghiệp Tân Tạo
31,ITD,Công ty Cổ phần Công nghệ Tiên Phong
32,LCG,Công ty Cổ phần LICOGI 16
33,LGL,Công ty Cổ phần Đầu tư và Phát triển Đô thị Long Giang
34,MHC,Công ty Cổ phần MHC
35,NCT,Công ty Cổ phần Dịch vụ Hàng hóa Nội Bài
36,PC1,Công ty Cổ phần Xây lắp Điện I
37,PET,Tổng Công ty Cổ phần Dịch vụ Tổng hợp Dầu khí
38,PHC,Công ty Cổ phần Xây dựng Phục Hưng Holdings
39,RAL,Công ty Cổ phần Bóng đèn Phích nước Rạng Đông
40,REE,Công ty Cổ phần Cơ Điện Lạnh
41,ROS,Công ty Cổ phần Xây dựng FLC FAROS
42,SAM,Công ty Cổ phần SAM Holdings
43,SCS,Công ty Cổ phần Dịch vụ Hàng hóa Sài Gòn
44,SFI,Công ty Cổ phần Đại lý Vận tải SAFI
45,SGN,Công ty Cổ phần Phục vụ Mặt đất Sài Gòn
46,SHI,Công ty Cổ phần Quốc tế Sơn Hà
47,SKG,Công ty Cổ phần Tàu cao tốc Superdong – Kiên Giang
48,SZC,Công ty Cổ phần Sonadezi Châu Đức
49,TCH,Công ty Cổ phần Đầu tư Dịch vụ Tài chính Hoàng Huy
50,TCL,Công ty Cổ phần Đai lý Giao nhận Vận tải Xếp dỡ Tân Cảng
51,TGG,Công ty Cổ phần Xây dựng và Đầu tư Trường Giang
52,TIP,Công ty Cổ phần Phát triển Khu Công nghiệp Tín Nghĩa
53,TLG,Công ty Cổ phần Tập đoàn Thiên Long
54,TNA,Công ty Cổ phần Thương mại Xuất nhập khẩu Thiên Nam
55,TSC,Công ty Cổ phần Vật tư Kỹ thuật Nông nghiệp Cần Thơ
56,TV2,Công ty Cổ phần Tư vấn Xây dựng Điện 2
57,TYA,Công ty Cổ phần Dây và Cáp điện Taya Việt Nam
58,UDC,Công ty Cổ phần Xây dựng và Phát triển Đô thị tỉnh Bà Rịa - Vũng Tàu
59,VGC,Tổng Công ty Viglacera - CTCP
60,VIP,Công ty Cổ phần Vận tải Xăng dầu VIPCO
61,VJC,Công ty Cổ phần Hàng không VietJet
62,VNE,Tổng Công ty Cổ phần Xây dựng Điện Việt Nam
63,VNS,Công ty Cổ phần Ánh Dương Việt Nam
64,VOS,Công ty Cổ phần Vận tải Biển Việt Nam
65,VPG,Công ty Cổ phần Đầu tư Thương mại Xuất nhập khẩu Việt Phát
66,VRC,Công ty Cổ phần Bất động sản và Đầu tư VRC
67,VSC,Công ty Cổ phần Container Việt Nam
