,sticker,name
1,AAA,Công ty Cổ phần Nhựa An Phát Xanh
2,BFC,Công ty Cổ phần Phân bón Bình Điền
3,BMC,Công ty Cổ phần Khoáng sản Bình Định
4,CRC,Công ty Cổ phần Create Capital Việt Nam
5,CSV,Công ty Cổ phần Hóa chất cơ bản miền Nam
6,CTI,Công ty Cổ phần Đầu tư Phát triển Cường Thuận IDICO
7,CVT,Công ty Cổ phần CMC
8,DCM,Công ty Cổ phần Phân bón Dầu khí Cà Mau
9,DHA,Công ty Cổ phần Hóa An
10,DHC,Công ty Cổ phần Đông Hải Bến Tre
11,DHM,Công ty Cổ phần Thương mại & Khai thác Khoáng sản Dương Hiếu
12,DPM,Tổng Công ty Phân bón và Hóa chất Dầu khí - Công ty Cổ phần
13,DPR,Công ty Cổ phần Cao su Đồng Phú
14,DXV,Công ty Cổ phần Vicem Vật liệu Xây dựng Đà Nẵng
15,FCM,Công ty Cổ phần Khoáng sản FECON
16,GAB,Công ty Cổ phần Đầu tư Khai khoáng & Quản lý Tài sản FLC
17,HAI,Công ty Cổ phần Nông dược HAI
18,HAP,Công ty Cổ phần Tập đoàn HAPACO
19,HII,Công ty Cổ phần An Tiến Industries
20,HMC,Công ty Cổ phần Kim khí Thành phố Hồ Chí Minh - Vnsteel
21,HPG,Công ty Cổ phần Tập đoàn Hòa Phát
22,HSG,Công ty Cổ phần Tập đoàn Hoa Sen
23,HT1,Công ty Cổ phần Xi măng Hà Tiên 1
24,KPF,Công ty Cổ phần Đầu tư Tài chính Hoàng Minh
25,KSB,Công ty Cổ phần Khoáng sản và Xây dựng Bình Dương
26,NKG,Công ty Cổ phần Thép Nam Kim
27,NNC,Công ty Cổ phần Đá Núi Nhỏ
28,PHR,Công ty Cổ phần Cao su Phước Hòa
29,PLP,Công ty Cổ phần Sản xuất và Công nghệ Nhựa Pha Lê
30,PTB,Công ty Cổ phần Phú Tài
31,QBS,Công ty Cổ phần Xuất Nhập khẩu Quảng Bình
32,SFG,Công ty Cổ phần Phân bón Miền Nam
33,SVI,Công ty Cổ phần Bao bì Biên Hòa
34,THG,Công ty Cổ phần Đầu tư và Xây dựng Tiền Giang
35,TLD,Công ty Cổ phần Đầu tư Xây dựng và Phát triển Đô thị Thăng Long
36,TLH,Công ty Cổ phần Tập đoàn Thép Tiến Lên
37,TNT,Công ty Cổ phần Tài Nguyên
38,TRC,Công ty Cổ phần Cao su Tây Ninh
39,TTB,Công ty Cổ phần Tập đoàn Tiến Bộ
