,sticker,name
1,ASM,Công ty Cổ phần Tập đoàn Sao Mai
2,CCL,Công ty Cổ phần Đầu tư và Phát triển Đô thị Dầu khí Cửu Long
3,CRE,Công ty Cổ phần Bất động sản Thế Kỷ
4,D2D,Công ty Cổ phần Phát triển Đô thị Công nghiệp số 2
5,DRH,Công ty Cổ phần DRH Holdings
6,DTA,Công ty Cổ phần Đệ Tam
7,DXG,Công ty Cổ phần Tập đoàn Đất Xanh
8,FIR,Công ty Cổ phần Địa ốc First Real
9,FLC,Công ty Cổ phần Tập đoàn FLC
10,HAR,Công ty Cổ phần Đầu tư Thương mại Bất động sản An Dương Thảo Điền
11,HDC,Công ty Cổ phần Phát triển nhà Bà Rịa – Vũng Tàu
12,HPX,Công ty Cổ phần Đầu tư Hải Phát
13,HQC,Công ty Cổ phần Tư vấn – Thương mại – Dịch vụ Địa ốc Hoàng Quân
14,HTN,Công ty Cổ phần Hưng Thịnh Incons
15,ITC,Công ty Cổ phần Đầu tư - Kinh doanh Nhà
16,KBC,Tổng Công ty Phát triển Đô Thị Kinh Bắc – Công ty Cổ phần
17,KDH,Công ty Cổ phần Đầu tư và Kinh doanh Nhà Khang Điền
18,KOS,Công ty Cổ phần KOSY
19,LDG,Công ty Cổ phần Đầu tư LDG
20,LHG,Công ty Cổ phần Long Hậu
21,NBB,Công ty Cổ phần Đầu tư Năm Bảy Bảy
22,NLG,Công ty Cổ phần Đầu tư Nam Long
23,NTL,Công ty Cổ phần Phát triển Đô thị Từ Liêm
24,NVL,Công ty Cổ phần Tập đoàn Đầu tư Địa ốc No Va
25,PDR,Công ty Cổ phần Phát triển Bất động sản Phát Đạt
26,QCG,Công ty Cổ phần Quốc Cường Gia Lai
27,SCR,Công ty Cổ phần Địa ốc Sài Gòn Thương Tín
28,SJS,Công ty Cổ phần Đầu tư Phát triển Đô thị và Khu công nghiệp Sông Đà
29,SZL,Công ty Cổ phần Sonadezi Long Thành
30,TDC,Công ty Cổ phần Kinh doanh và Phát triển Bình Dương
31,TDH,Công ty Cổ phần Phát triển Nhà Thủ Đức
32,TEG,Công ty Cổ phần Năng lượng và Bất động sản Trường Thành
33,TN1,Công ty Cổ phần Thương mại Dịch vụ TNS Holdings
34,VHM,Công ty Cổ phần Vinhomes
35,VIC,Tập đoàn Vingroup - Công ty Cổ phần
36,VPH,Công ty Cổ phần Vạn Phát Hưng
37,VPI,Công ty Cổ phần Đầu tư Văn Phú - Invest
38,VRE,Công ty Cổ phần Vincom Retail
