ticker,last date,start date,last adj close,Lines
DAG,2020-10-26,2010-04-08,7.21,2651
VNSML-INDEX,2020-10-23,2014-02-07,576.0,1459
FLC,2020-10-26,2016-01-04,6.07,1211
PDR,2020-10-26,2016-01-04,6.7,1211
BAB,2020-10-26,2017-12-28,17.86,707
MSH,2020-10-26,2018-11-28,45.56,485
CII,2020-10-16,2016-01-04,21.4,1191
DCM,2020-10-26,2016-01-04,9.11,1211
DXG,2020-10-26,2016-01-04,8.32,1211
VHC,2020-10-26,2016-01-04,11.69,1211
GEX,2020-10-26,2016-01-04,11.75,1205
NBB,2020-10-26,2016-01-04,14.01,1211
PHR,2020-10-26,2016-01-04,7.6,1211
PPC,2020-10-26,2016-01-04,10.09,1211
VIC,2020-10-26,2016-01-04,28.87,1211
SCS,2020-10-26,2017-07-12,64.12,826
SAM,2020-10-26,2016-01-04,5.9,1210
SCR,2020-10-26,2016-01-04,6.45,1206
TPB,2020-10-26,2018-04-19,29.89,639
NCT,2020-10-26,2016-01-04,82.48,1211
REE,2020-10-26,2000-07-28,1.57,4909
KDC,2020-10-26,2016-01-04,18.21,1210
BMP,2020-10-26,2016-01-04,50.14,1210
FMC,2020-10-26,2016-01-04,11.33,1206
CRE,2020-10-26,2018-09-05,28.04,545
HBC,2020-10-26,2016-01-04,6.81,1211
MSN,2020-10-26,2016-01-04,48.03,1211
FUESSV30,2020-10-26,2020-08-18,10.0,68
VPB,2020-10-26,2017-08-17,24.1,806
AST,2020-10-26,2018-01-04,40.06,708
SBT,2020-10-16,2016-01-04,17.37,1191
FUESSVFL,2020-10-26,2020-03-18,9.99,173
POW,2020-10-26,2018-03-06,17.8,661
DPM,2020-10-26,2016-01-04,18.9,1211
AAA,2020-10-16,2016-01-04,7.59,1185
GMD,2020-10-26,2016-01-04,20.04,1211
PVT,2020-10-26,2016-01-04,7.23,1211
PLX,2020-10-26,2017-04-21,39.77,888
MBB,2020-10-26,2016-01-04,8.54,1211
VN30INDEX,2020-10-23,2012-02-06,447.47,2176
TV2,2020-10-26,2016-01-04,5.89,1206
HDG,2020-10-26,2016-01-04,11.6,1211
GAS,2020-10-26,2016-01-04,27.46,1211
PVD,2020-10-26,2016-01-04,21.74,1211
LDG,2020-10-26,2016-01-04,5.51,1211
ROS,2020-10-26,2016-09-01,9.55,1046
DRC,2020-10-26,2016-01-04,24.32,1211
VND,2020-10-26,2016-01-04,7.74,1207
CMG,2020-10-26,2016-01-04,11.31,1211
SGN,2020-10-26,2016-01-04,17.76,1203
HPG,2020-10-26,2016-01-04,6.81,1210
TCW,2020-10-26,2017-06-26,17.18,836
MWG,2020-10-16,2016-01-04,27.94,1191
VCB,2020-10-26,2016-01-04,30.05,1211
VNR,2020-10-26,2016-01-04,15.34,1207
HDB,2020-10-26,2018-01-05,29.39,707
CTD,2020-10-26,2016-01-04,97.43,1211
PAN,2020-10-26,2016-01-04,18.25,1211
VNG,2020-10-26,2016-01-04,12.23,1211
SSI,2020-10-26,2016-01-04,14.99,1206
TCB,2020-10-26,2018-06-04,34.13,611
FRT,2020-10-26,2018-04-26,72.22,636
CTG,2020-10-26,2016-01-04,16.93,1211
PC1,2020-10-26,2016-11-16,23.97,993
KOS,2020-10-26,2017-12-08,15.8,723
KBC,2020-10-26,2016-01-04,11.98,1211
ITA,2020-10-26,2016-01-04,5.6,1211
DHC,2020-10-26,2016-01-04,13.38,1211
DIG,2020-10-26,2016-01-04,6.97,1211
DPR,2020-10-26,2016-01-04,17.77,1211
PTB,2020-10-26,2016-01-04,23.9,1211
BIC,2020-10-26,2016-01-04,16.66,1211
DPG,2020-10-26,2017-01-12,6.71,947
ACB,2020-10-26,2016-01-04,9.22,1208
SJS,2020-10-26,2016-01-04,18.02,1211
HSG,2020-10-26,2016-01-04,8.67,1211
VNM,2020-10-26,2016-01-04,60.69,1211
TLG,2020-10-26,2016-01-04,31.18,1211
TCH,2020-10-26,2016-10-05,13.92,1023
HPX,2020-10-26,2018-07-24,18.81,575
SFC,2020-10-26,2016-01-04,13.43,1206
ANV,2020-10-26,2016-01-04,3.11,1211
PNJ,2020-10-26,2016-01-04,19.28,1197
VCI,2020-10-26,2017-07-07,38.02,822
FPT,2020-10-26,2016-01-04,20.06,1211
IMP,2020-10-26,2016-01-04,22.72,1211
YEG,2020-10-26,2018-06-26,300.0,595
PME,2020-10-26,2017-11-08,64.42,748
BID,2020-10-26,2016-01-04,17.97,1198
NT2,2020-10-26,2016-01-04,14.54,1198
NVL,2020-10-26,2016-12-28,44.99,950
BWE,2020-10-26,2017-07-20,15.55,813
CSM,2020-10-26,2016-01-04,13.87,1211
STB,2020-10-26,2016-01-04,12.6,1210
VNINDEX,2020-10-26,2020-09-29,903.98,20
SAB,2020-10-26,2016-12-06,123.34,979
NTP,2020-10-26,2006-12-11,9.54,3477
GEG,2020-10-26,2017-03-21,8.52,912
VJC,2020-10-26,2017-02-28,60.7,925
VRE,2020-10-26,2017-11-06,32.15,750
ASM,2020-10-26,2016-01-04,12.72,1211
VNMID-INDEX,2020-10-23,2014-02-07,575.58,1451
BMI,2020-10-26,2016-01-04,18.66,1211
KSB,2020-10-26,2016-01-04,14.63,1206
HCM,2020-10-26,2016-01-04,11.8,1211
DBD,2020-10-26,2017-01-16,31.56,945
VPI,2020-10-16,2017-11-28,33.43,709
EIB,2020-10-26,2016-01-04,11.2,1211
KDH,2020-10-26,2016-01-04,9.0,1211
NLG,2020-10-26,2016-01-04,12.9,1211
VHM,2020-10-26,2018-05-17,87.35,623
HT1,2020-10-26,2016-01-04,17.64,1211
TDM,2020-10-26,2018-10-24,20.14,510
VGC,2020-10-26,2016-01-04,7.03,1202
HAG,2020-10-26,2016-01-04,10.1,1211
