name,date,open,high,low,close,volume,adj_close
AAA,2020-10-26,11.7,11.75,11.55,11.55,1049870,11.55
AAA,2020-10-23,11.75,11.75,11.6,11.65,973590,11.65
AAA,2020-10-22,11.7,11.75,11.6,11.7,1063660,11.7
AAA,2020-10-21,11.85,11.9,11.7,11.7,1351110,11.7
AAA,2020-10-20,11.8,11.9,11.8,11.85,1186420,11.85
AAA,2020-10-19,12.0,12.0,11.85,11.9,1699360,11.9
AAA,2020-10-16,12.2,12.35,12.1,12.3,1698380,11.71
AAA,2020-10-15,12.25,12.3,12.2,12.2,1251820,11.62
AAA,2020-10-14,12.2,12.3,12.15,12.25,1260590,11.67
AAA,2020-10-13,12.2,12.25,12.1,12.15,1050400,11.57
AAA,2020-10-12,12.35,12.35,12.15,12.15,1396750,11.57
AAA,2020-10-09,12.2,12.45,12.2,12.25,1400860,11.67
AAA,2020-10-08,12.4,12.4,12.15,12.2,2373770,11.62
AAA,2020-10-07,12.5,12.55,12.35,12.35,1682820,11.76
AAA,2020-10-06,12.55,12.75,12.45,12.55,3310270,11.95
AAA,2020-10-05,12.25,12.65,12.15,12.45,4522700,11.86
AAA,2020-10-02,12.25,12.35,11.95,12.15,2669380,11.57
AAA,2020-10-01,12.3,12.3,12.2,12.25,1474770,11.67
AAA,2020-09-30,12.1,12.2,12.05,12.15,1213000,11.57
AAA,2020-09-29,12.35,12.35,12.1,12.1,3391200,11.52
