name,date,open,high,low,close,volume,adj_close
ACB,2020-10-26,25.6,25.6,25.8,24.8,11665717,24.8
ACB,2020-10-23,25.6,25.8,25.9,25.6,8028985,25.6
ACB,2020-10-22,25.2,25.3,26.0,25.6,9447256,25.6
ACB,2020-10-21,25.3,25.4,25.6,25.2,8869815,25.2
ACB,2020-10-20,25.3,25.4,25.6,25.3,11362976,25.3
ACB,2020-10-19,24.7,25.0,25.7,25.3,14160428,25.3
ACB,2020-10-16,24.5,24.5,25.0,24.7,8719031,24.7
ACB,2020-10-15,24.0,24.0,24.8,24.5,16349453,24.5
ACB,2020-10-14,23.4,23.5,24.1,24.0,20294474,24.0
ACB,2020-10-13,23.3,23.4,23.4,23.4,5325101,23.4
ACB,2020-10-12,23.5,23.7,23.8,23.3,8648083,23.3
ACB,2020-10-09,23.2,23.2,23.8,23.5,8725441,23.5
ACB,2020-10-08,23.4,23.2,23.7,23.2,13901830,23.2
ACB,2020-10-07,24.0,24.0,24.1,23.4,17695173,23.4
ACB,2020-10-06,23.6,23.6,24.2,24.0,10977492,24.0
ACB,2020-10-05,23.0,23.0,23.6,23.6,12891936,23.6
ACB,2020-10-02,22.5,22.4,23.5,23.0,23518516,23.0
ACB,2020-10-01,22.5,22.3,22.8,22.5,6510267,22.5
ACB,2020-09-30,22.4,22.4,22.5,22.5,3624221,22.5
ACB,2020-09-29,22.6,22.7,22.8,22.4,5923046,22.4
