name,date,open,high,low,close,volume,adj_close
ANV,2020-10-26,20.3,20.3,19.85,19.85,114580,19.85
ANV,2020-10-23,19.9,20.5,19.9,20.2,266680,20.2
ANV,2020-10-22,19.5,19.95,19.5,19.9,453410,19.9
ANV,2020-10-21,19.6,20.2,19.5,19.55,296530,19.55
ANV,2020-10-20,19.15,19.7,19.0,19.7,232230,19.7
ANV,2020-10-19,19.5,19.8,18.5,19.2,567670,19.2
ANV,2020-10-16,19.95,20.05,19.6,19.8,238730,19.8
ANV,2020-10-15,20.1,20.2,19.95,19.95,255390,19.95
ANV,2020-10-14,19.8,20.4,19.8,20.1,519870,20.1
ANV,2020-10-13,20.1,20.15,19.7,19.85,279640,19.85
ANV,2020-10-12,20.15,20.5,19.7,20.1,421750,20.1
ANV,2020-10-09,19.55,20.35,19.55,20.1,520570,20.1
ANV,2020-10-08,20.15,20.35,19.55,19.75,524560,19.75
ANV,2020-10-07,20.3,20.4,20.1,20.1,430930,20.1
ANV,2020-10-06,20.5,20.6,20.0,20.45,350770,20.45
ANV,2020-10-05,19.6,20.6,19.4,20.45,962360,20.45
ANV,2020-10-02,19.5,19.8,19.1,19.4,554480,19.4
ANV,2020-10-01,19.15,19.5,19.0,19.5,289470,19.5
ANV,2020-09-30,18.8,19.15,18.55,19.15,231730,19.15
ANV,2020-09-29,18.4,19.2,18.4,18.6,271470,18.6
