name,date,open,high,low,close,volume,adj_close
ASM,2020-10-26,9.81,9.9,9.35,9.35,2886630,9.35
ASM,2020-10-23,9.61,9.9,9.6,9.8,3251690,9.8
ASM,2020-10-22,9.39,9.59,9.22,9.55,2443330,9.55
ASM,2020-10-21,9.46,9.5,9.24,9.24,3217750,9.24
ASM,2020-10-20,9.3,9.47,9.25,9.46,2370290,9.46
ASM,2020-10-19,9.65,9.65,9.33,9.33,1969590,9.33
ASM,2020-10-16,9.01,9.53,9.01,9.45,3656020,9.45
ASM,2020-10-15,9.78,9.8,9.22,9.27,6211180,9.27
ASM,2020-10-14,9.87,10.0,9.75,9.79,2916790,9.79
ASM,2020-10-13,10.0,10.0,9.83,9.87,2683930,9.87
ASM,2020-10-12,9.84,10.25,9.84,9.87,4813990,9.87
ASM,2020-10-09,9.85,9.94,9.74,9.84,3186480,9.84
ASM,2020-10-08,10.25,10.25,9.8,9.83,5563700,9.83
ASM,2020-10-07,9.86,10.35,9.65,10.05,6619510,10.05
ASM,2020-10-06,10.3,10.35,9.75,9.96,6418700,9.96
ASM,2020-10-05,10.1,10.45,9.99,10.25,6508910,10.25
ASM,2020-10-02,9.37,10.0,9.0,9.98,9784760,9.98
ASM,2020-10-01,9.28,9.37,9.07,9.37,10065330,9.37
ASM,2020-09-30,8.3,8.76,8.16,8.76,8229570,8.76
ASM,2020-09-29,8.09,8.48,8.0,8.19,4909320,8.19
