name,date,open,high,low,close,volume,adj_close
AST,2020-10-26,49.7,49.85,49.45,49.55,155140,49.55
AST,2020-10-23,50.2,50.2,49.55,49.7,78600,49.7
AST,2020-10-22,49.3,49.75,49.3,49.6,67020,49.6
AST,2020-10-21,49.4,49.9,49.4,49.5,81430,49.5
AST,2020-10-20,50.4,50.4,49.4,49.6,69960,49.6
AST,2020-10-19,50.7,50.8,50.0,50.0,82490,50.0
AST,2020-10-16,50.5,50.7,50.1,50.7,99640,50.7
AST,2020-10-15,49.7,50.5,49.7,50.5,121660,50.5
AST,2020-10-14,49.6,50.3,49.6,49.7,46090,49.7
AST,2020-10-13,49.7,50.0,49.4,49.6,29770,49.6
AST,2020-10-12,49.5,50.0,49.5,49.7,103590,49.7
AST,2020-10-09,50.1,50.1,49.5,49.7,111120,49.7
AST,2020-10-08,50.5,50.5,49.7,50.3,77450,50.3
AST,2020-10-07,50.6,50.9,50.2,50.5,58480,50.5
AST,2020-10-06,51.5,51.5,50.9,50.9,86010,50.9
AST,2020-10-05,51.0,51.0,50.3,50.9,59300,50.9
AST,2020-10-02,51.2,51.2,48.0,50.2,106570,50.2
AST,2020-10-01,50.7,51.5,50.7,50.9,113440,50.9
AST,2020-09-30,50.6,50.8,50.2,50.6,66980,50.6
AST,2020-09-29,51.4,51.5,50.6,50.6,127440,50.6
