name,date,open,high,low,close,volume,adj_close
BIC,2020-10-26,20.65,20.65,20.15,20.15,103510,20.15
BIC,2020-10-23,20.7,20.7,20.3,20.7,66640,20.7
BIC,2020-10-22,20.7,20.7,19.9,20.7,96390,20.7
BIC,2020-10-21,21.4,21.4,20.6,20.7,104720,20.7
BIC,2020-10-20,21.0,21.0,20.5,21.0,103630,21.0
BIC,2020-10-19,20.8,21.3,20.7,21.0,196030,21.0
BIC,2020-10-16,21.0,21.15,20.7,20.8,221050,20.8
BIC,2020-10-15,21.6,22.0,21.1,21.5,205200,21.5
BIC,2020-10-14,22.2,22.45,21.8,22.1,277420,22.1
BIC,2020-10-13,20.2,21.4,20.05,21.4,480760,21.4
BIC,2020-10-12,19.8,20.2,19.6,20.0,306990,20.0
BIC,2020-10-09,19.1,19.45,19.0,19.45,94570,19.45
BIC,2020-10-08,19.2,19.3,18.95,19.3,99420,19.3
BIC,2020-10-07,19.45,19.45,19.2,19.2,73250,19.2
BIC,2020-10-06,19.4,19.65,19.25,19.45,75120,19.45
BIC,2020-10-05,19.0,19.4,18.8,19.4,101300,19.4
BIC,2020-10-02,19.4,19.7,18.8,18.8,189070,18.8
BIC,2020-10-01,19.0,19.4,19.0,19.3,59580,19.3
BIC,2020-09-30,19.0,19.25,19.0,19.0,79510,19.0
BIC,2020-09-29,19.85,19.85,19.15,19.15,142670,19.15
