name,date,open,high,low,close,volume,adj_close
BMI,2020-10-26,28.3,28.3,27.65,27.65,95680,27.65
BMI,2020-10-23,28.0,28.5,27.9,28.1,154360,28.1
BMI,2020-10-22,27.2,28.25,27.2,28.0,162520,28.0
BMI,2020-10-21,27.85,28.0,27.2,27.2,172860,27.2
BMI,2020-10-20,27.05,27.8,27.05,27.55,92600,27.55
BMI,2020-10-19,27.4,27.5,26.5,27.5,421480,27.5
BMI,2020-10-16,28.35,28.35,27.5,27.5,408990,27.5
BMI,2020-10-15,29.0,29.0,28.2,28.5,414820,28.5
BMI,2020-10-14,29.15,29.2,28.6,28.95,260980,28.95
BMI,2020-10-13,29.1,29.5,28.9,29.15,171280,29.15
BMI,2020-10-12,28.95,30.15,28.85,29.1,593710,29.1
BMI,2020-10-09,28.9,28.95,28.5,28.95,180480,28.95
BMI,2020-10-08,28.7,29.0,28.35,28.9,270620,28.9
BMI,2020-10-07,28.2,29.4,28.1,28.6,318340,28.6
BMI,2020-10-06,28.75,28.75,27.9,28.35,452030,28.35
BMI,2020-10-05,28.25,28.95,28.25,28.75,206420,28.75
BMI,2020-10-02,29.5,29.5,28.05,28.5,635140,28.5
BMI,2020-10-01,29.3,29.4,28.75,29.0,544010,29.0
BMI,2020-09-30,28.2,29.3,27.65,28.7,528230,28.7
BMI,2020-09-29,28.5,29.2,27.5,29.2,835290,29.2
