name,date,open,high,low,close,volume,adj_close
BMP,2020-10-26,57.4,57.4,55.5,55.5,178800,55.5
BMP,2020-10-23,53.6,57.4,53.6,57.4,231490,57.4
BMP,2020-10-22,53.9,53.9,53.4,53.7,84450,53.7
BMP,2020-10-21,54.0,54.1,53.7,53.7,88770,53.7
BMP,2020-10-20,53.5,54.5,53.5,54.0,147710,54.0
BMP,2020-10-19,54.8,54.8,53.9,54.0,83860,54.0
BMP,2020-10-16,55.0,55.0,54.2,54.4,79050,54.4
BMP,2020-10-15,54.0,54.5,53.3,54.2,289680,54.2
BMP,2020-10-14,55.3,55.5,53.9,54.0,379640,54.0
BMP,2020-10-13,55.0,55.7,55.0,55.4,103670,55.4
BMP,2020-10-12,57.0,57.0,55.0,55.2,419580,55.2
BMP,2020-10-09,57.0,58.0,56.5,56.9,146160,56.9
BMP,2020-10-08,57.4,57.7,56.4,57.1,294340,57.1
BMP,2020-10-07,57.7,59.5,57.4,57.4,341930,57.4
BMP,2020-10-06,62.0,62.2,61.4,61.4,342250,58.56
BMP,2020-10-05,62.0,62.2,61.7,61.9,288820,59.03
BMP,2020-10-02,61.9,62.3,61.2,61.8,167530,58.94
BMP,2020-10-01,61.8,62.7,61.2,62.2,255450,59.32
BMP,2020-09-30,60.0,60.9,59.3,60.9,135730,58.08
BMP,2020-09-29,61.0,61.0,59.0,59.3,178380,56.55
