name,date,open,high,low,close,volume,adj_close
CII,2020-10-26,17.55,17.6,17.0,17.0,1629250,17.0
CII,2020-10-23,17.6,17.8,17.5,17.55,886990,17.55
CII,2020-10-22,17.4,17.65,17.35,17.6,1149280,17.6
CII,2020-10-21,18.8,18.8,18.5,18.5,1433870,17.5
CII,2020-10-20,18.75,18.95,18.65,18.8,1129180,17.78
CII,2020-10-19,18.5,18.85,18.45,18.7,1066760,17.69
CII,2020-10-16,18.45,18.5,18.25,18.35,2416930,17.36
CII,2020-10-15,18.65,18.65,18.35,18.35,3017300,17.36
CII,2020-10-14,18.75,18.85,18.55,18.6,2202150,17.59
CII,2020-10-13,18.9,18.95,18.75,18.75,1224850,17.74
CII,2020-10-12,19.2,19.25,18.9,18.9,3725350,17.88
CII,2020-10-09,19.0,19.2,18.95,19.0,1434000,17.97
CII,2020-10-08,19.2,19.45,18.95,19.0,3216420,17.97
CII,2020-10-07,19.0,19.75,18.8,19.2,5296650,18.16
CII,2020-10-06,19.1,19.15,18.8,19.0,1601430,17.97
CII,2020-10-05,19.2,19.25,18.95,19.0,2747930,17.97
CII,2020-10-02,18.35,18.9,18.25,18.9,4485330,17.88
CII,2020-10-01,18.2,18.3,18.1,18.25,920050,17.26
CII,2020-09-30,18.05,18.1,17.95,18.05,767240,17.07
CII,2020-09-29,18.1,18.2,18.0,18.05,1104640,17.07
CII,2020-09-28,18.05,18.2,18.0,18.05,1683880,17.07
CII,2020-09-25,18.2,18.3,18.0,18.0,1876900,17.03
CII,2020-09-24,18.35,18.35,18.15,18.15,1350720,17.17
CII,2020-09-23,18.5,18.6,18.35,18.4,1060020,17.4
CII,2020-09-22,18.4,18.55,18.25,18.35,1489680,17.36
CII,2020-09-21,18.65,18.9,18.45,18.45,2368500,17.45
CII,2020-09-18,18.7,18.8,18.5,18.65,1316590,17.64
CII,2020-09-17,18.5,18.9,18.4,18.65,2237030,17.64
CII,2020-09-16,18.15,18.55,18.15,18.45,1957510,17.45
CII,2020-09-15,18.1,18.2,18.0,18.1,713820,17.12
CII,2020-09-14,18.0,18.15,17.95,18.0,1165660,17.03
CII,2020-09-11,17.9,18.1,17.9,17.95,420100,16.98
CII,2020-09-10,18.05,18.2,17.9,18.0,1305360,17.03
CII,2020-09-09,17.9,17.9,17.7,17.8,1613880,16.84
CII,2020-09-08,18.1,18.2,17.85,18.0,875440,17.03
CII,2020-09-07,18.4,18.4,17.95,17.95,2121850,16.98
CII,2020-09-04,18.4,18.5,18.35,18.4,1513180,17.4
CII,2020-09-03,18.6,19.1,18.5,18.65,1645030,17.64
CII,2020-09-01,18.55,18.8,18.45,18.7,1160400,17.69
CII,2020-08-31,18.95,19.2,18.5,18.5,1041860,17.5
CII,2020-08-28,19.1,19.35,18.95,18.95,1394040,17.92
CII,2020-08-27,18.4,19.1,18.3,19.0,3138320,17.97
CII,2020-08-26,18.15,18.45,18.1,18.3,1174340,17.31
CII,2020-08-25,18.45,18.45,18.15,18.15,1057080,17.17
CII,2020-08-24,18.0,18.4,18.0,18.35,2171150,17.36
CII,2020-08-21,17.8,18.05,17.7,17.9,865400,16.93
CII,2020-08-20,17.9,18.0,17.75,17.8,606450,16.84
CII,2020-08-19,18.0,18.15,17.9,17.95,833150,16.98
CII,2020-08-18,17.55,18.25,17.55,18.0,2502290,17.03
CII,2020-08-17,17.45,17.7,17.35,17.45,617570,16.51
CII,2020-08-14,17.65,17.7,17.35,17.35,965480,16.41
CII,2020-08-13,17.8,17.85,17.65,17.65,754700,16.7
CII,2020-08-12,17.95,17.95,17.7,17.7,460110,16.74
CII,2020-08-11,17.6,17.9,17.55,17.85,930190,16.88
CII,2020-08-10,17.4,18.1,17.35,17.6,1734410,16.65
CII,2020-08-07,17.4,17.55,17.3,17.35,529080,16.41
CII,2020-08-06,17.65,17.7,17.25,17.35,978410,16.41
CII,2020-08-05,17.75,17.95,17.65,17.7,527850,16.74
CII,2020-08-04,17.65,17.85,17.55,17.7,702380,16.74
CII,2020-08-03,17.1,17.6,17.1,17.5,604930,16.55
CII,2020-07-31,17.05,17.5,17.05,17.4,470060,16.46
CII,2020-07-30,17.5,17.65,17.3,17.5,427730,16.55
CII,2020-07-29,17.1,17.6,16.55,17.6,2682410,16.65
CII,2020-07-28,17.1,17.5,17.0,17.2,996000,16.27
CII,2020-07-27,17.15,17.5,16.8,17.1,2137110,16.17
CII,2020-07-24,17.75,18.0,16.65,18.0,2618490,17.03
CII,2020-07-23,18.0,18.15,17.8,17.8,1840100,16.84
CII,2020-07-22,18.1,18.25,17.9,18.1,1422120,17.12
CII,2020-07-21,17.6,18.1,17.2,18.1,1732030,17.12
CII,2020-07-20,17.5,18.05,17.5,17.5,1725760,16.55
CII,2020-07-17,17.95,18.1,17.95,18.0,963980,17.03
CII,2020-07-16,18.0,18.3,17.95,17.95,1289320,16.98
CII,2020-07-15,18.25,18.3,18.0,18.0,1371300,17.03
CII,2020-07-14,18.2,18.25,18.0,18.25,1456340,17.26
CII,2020-07-13,18.2,18.3,18.05,18.15,1503010,17.17
CII,2020-07-10,18.25,18.5,18.1,18.2,1171290,17.22
CII,2020-07-09,18.15,18.35,18.1,18.25,1116490,17.26
CII,2020-07-08,18.15,18.25,18.1,18.1,820200,17.12
CII,2020-07-07,18.55,18.55,18.2,18.2,1119290,17.22
CII,2020-07-06,18.5,18.65,18.45,18.5,733310,17.5
CII,2020-07-03,18.1,18.75,18.1,18.45,939960,17.45
CII,2020-07-02,18.25,18.35,18.1,18.1,764530,17.12
CII,2020-07-01,18.15,18.4,18.0,18.2,1085620,17.22
CII,2020-06-30,18.4,18.5,17.9,18.15,931290,17.17
CII,2020-06-29,18.75,18.8,17.8,18.15,1586930,17.17
CII,2020-06-26,18.85,19.0,18.4,18.8,2303680,17.78
CII,2020-06-25,18.75,18.9,18.7,18.7,1220070,17.69
CII,2020-06-24,19.2,19.25,18.85,18.9,1076050,17.88
CII,2020-06-23,19.15,19.5,19.0,19.1,1123420,18.07
CII,2020-06-22,19.15,19.25,18.95,19.0,1291490,17.97
CII,2020-06-19,19.1,19.25,18.95,19.15,1101600,18.11
CII,2020-06-18,18.9,19.2,18.9,18.9,803050,17.88
CII,2020-06-17,19.0,19.35,18.85,19.2,939610,18.16
CII,2020-06-16,19.0,19.15,18.8,19.05,1450060,18.02
CII,2020-06-15,19.6,19.6,18.6,18.7,1984730,17.69
CII,2020-06-12,18.8,19.65,18.8,19.5,2853340,18.45
CII,2020-06-11,20.1,20.9,19.5,19.5,5040150,18.45
CII,2020-06-10,19.9,20.4,19.7,20.0,2682360,18.92
CII,2020-06-09,19.3,20.4,19.15,19.9,4972050,18.82
CII,2020-06-08,19.1,19.5,19.1,19.2,3964320,18.16
CII,2020-06-05,19.35,19.35,19.05,19.1,1300120,18.07
CII,2020-06-04,19.6,19.65,19.3,19.35,1894620,18.3
