name,date,open,high,low,close,volume,adj_close
CMG,2020-10-26,34.0,34.1,33.8,33.8,22550,33.8
CMG,2020-10-23,34.3,34.3,33.6,33.95,34340,33.95
CMG,2020-10-22,33.6,34.5,33.6,34.0,22510,34.0
CMG,2020-10-21,34.6,34.7,33.8,34.2,123760,34.2
CMG,2020-10-20,34.5,34.7,33.75,34.3,65570,34.3
CMG,2020-10-19,34.0,34.6,34.0,34.3,50370,34.3
CMG,2020-10-16,34.3,34.3,33.9,34.0,62740,34.0
CMG,2020-10-15,34.05,34.3,33.7,34.05,84020,34.05
CMG,2020-10-14,34.45,34.45,33.7,33.7,31090,33.7
CMG,2020-10-13,34.1,34.2,33.8,34.0,49580,34.0
CMG,2020-10-12,34.5,35.0,33.8,33.8,36380,33.8
CMG,2020-10-09,34.5,35.0,34.25,34.6,35000,34.6
CMG,2020-10-08,34.9,34.9,34.35,34.6,30280,34.6
CMG,2020-10-07,35.0,35.0,34.5,34.65,36060,34.65
CMG,2020-10-06,34.6,34.8,34.3,34.6,45110,34.6
CMG,2020-10-05,34.55,35.2,34.4,34.6,61210,34.6
CMG,2020-10-02,35.4,35.4,34.1,35.0,44020,35.0
CMG,2020-10-01,35.4,35.4,34.5,35.0,42130,35.0
CMG,2020-09-30,34.5,35.0,33.7,34.7,87750,34.7
CMG,2020-09-29,35.95,36.0,33.25,34.6,102490,34.6
