name,date,open,high,low,close,volume,adj_close
CRE,2020-10-26,26.5,27.0,26.25,26.4,924890,26.4
CRE,2020-10-23,25.6,26.5,25.4,26.5,1324240,26.5
CRE,2020-10-22,24.5,25.7,24.4,25.55,1424460,25.55
CRE,2020-10-21,24.3,24.8,24.1,24.5,1165920,24.5
CRE,2020-10-20,24.3,24.4,24.05,24.2,920490,24.2
CRE,2020-10-19,24.1,24.45,23.95,24.2,1032360,24.2
CRE,2020-10-16,24.2,24.45,24.0,24.15,939430,24.15
CRE,2020-10-15,24.4,24.9,24.05,24.2,1140690,24.2
CRE,2020-10-14,24.0,24.4,23.75,24.35,1315890,24.35
CRE,2020-10-13,22.85,23.95,22.5,23.95,1799020,23.95
CRE,2020-10-12,22.55,23.1,22.55,22.8,1161970,22.8
CRE,2020-10-09,22.1,22.7,21.8,22.55,1432950,22.55
CRE,2020-10-08,22.2,22.2,21.75,22.0,877720,22.0
CRE,2020-10-07,22.2,22.4,22.1,22.2,946890,22.2
CRE,2020-10-06,22.5,22.5,22.0,22.15,1136930,22.15
CRE,2020-10-05,21.7,22.5,21.6,22.4,1196530,22.4
CRE,2020-10-02,21.7,22.4,21.45,21.8,1387410,21.8
CRE,2020-10-01,22.35,22.4,21.55,21.8,1358640,21.8
CRE,2020-09-30,21.3,22.45,21.25,22.45,1499800,22.45
CRE,2020-09-29,20.6,21.6,20.6,21.0,1582440,21.0
