name,date,open,high,low,close,volume,adj_close
CSM,2020-10-26,17.9,17.9,17.3,17.3,270430,17.3
CSM,2020-10-23,16.6,17.5,16.5,17.3,622360,17.3
CSM,2020-10-22,15.5,16.5,15.5,16.5,58420,16.5
CSM,2020-10-21,15.7,15.95,15.5,15.5,46100,15.5
CSM,2020-10-20,15.3,15.95,15.3,15.7,23390,15.7
CSM,2020-10-19,15.2,15.45,15.2,15.3,37990,15.3
CSM,2020-10-16,15.4,15.45,15.15,15.3,15040,15.3
CSM,2020-10-15,15.4,15.6,15.25,15.4,58490,15.4
CSM,2020-10-14,15.9,15.9,15.3,15.6,38940,15.6
CSM,2020-10-13,15.35,15.7,15.35,15.5,38890,15.5
CSM,2020-10-12,15.9,16.25,15.6,15.65,212210,15.65
CSM,2020-10-09,16.75,16.75,16.05,16.05,111770,16.05
CSM,2020-10-08,16.95,16.95,16.4,16.75,55450,16.75
CSM,2020-10-07,17.0,17.4,16.8,16.95,219830,16.95
CSM,2020-10-06,16.3,17.1,16.3,17.0,377200,17.0
CSM,2020-10-05,16.2,16.35,15.95,16.3,86350,16.3
CSM,2020-10-02,15.8,16.1,15.65,16.0,141010,16.0
CSM,2020-10-01,15.95,15.95,15.6,15.6,44360,15.6
CSM,2020-09-30,15.35,15.9,15.35,15.8,57430,15.8
CSM,2020-09-29,15.5,16.0,15.4,15.5,46810,15.5
