name,date,open,high,low,close,volume,adj_close
CTD,2020-10-26,57.8,57.9,56.5,56.5,623310,56.5
CTD,2020-10-23,58.0,59.0,56.6,56.9,1125860,56.9
CTD,2020-10-22,57.9,58.0,56.4,57.8,511160,57.8
CTD,2020-10-21,59.0,59.9,58.3,58.3,1083360,58.3
CTD,2020-10-20,58.0,60.5,57.8,59.8,1405370,59.8
CTD,2020-10-19,54.5,57.8,54.5,57.8,969710,57.8
CTD,2020-10-16,58.0,58.4,54.1,54.4,2814930,54.4
CTD,2020-10-15,61.0,61.1,58.0,58.0,2464510,58.0
CTD,2020-10-14,62.5,62.5,61.1,61.3,1219040,61.3
CTD,2020-10-13,64.5,64.5,62.5,62.7,1120630,62.7
CTD,2020-10-12,62.0,64.9,61.7,64.5,2120420,64.5
CTD,2020-10-09,62.1,62.9,60.2,61.4,1914890,61.4
CTD,2020-10-08,60.5,64.1,60.5,61.1,3504770,61.1
CTD,2020-10-07,63.3,64.0,60.5,60.5,2791470,60.5
CTD,2020-10-06,66.5,66.8,64.5,64.5,2864590,64.5
CTD,2020-10-05,68.5,68.8,67.0,67.0,954110,67.0
CTD,2020-10-02,68.6,69.0,67.0,68.7,774660,68.7
CTD,2020-10-01,69.2,70.0,68.0,69.0,554170,69.0
CTD,2020-09-30,67.0,69.3,64.8,69.2,1381300,69.2
CTD,2020-09-29,69.0,69.0,67.0,67.0,1411470,67.0
