name,date,open,high,low,close,volume,adj_close
CTG,2020-10-26,31.9,31.9,30.5,30.5,8904630,30.5
CTG,2020-10-23,32.2,32.25,31.6,31.8,6636530,31.8
CTG,2020-10-22,31.0,32.0,30.8,32.0,8715860,32.0
CTG,2020-10-21,32.2,32.45,31.05,31.05,9191450,31.05
CTG,2020-10-20,31.85,32.3,31.7,32.1,9963500,32.1
CTG,2020-10-19,32.1,32.45,31.9,32.15,9648680,32.15
CTG,2020-10-16,30.5,31.45,30.2,31.15,12956750,31.15
CTG,2020-10-15,30.2,30.5,30.0,30.05,10107170,30.05
CTG,2020-10-14,30.7,30.85,30.0,30.0,8338720,30.0
CTG,2020-10-13,29.0,31.0,28.75,30.55,10920290,30.55
CTG,2020-10-12,29.55,29.55,28.75,29.1,16827340,29.1
CTG,2020-10-09,27.2,27.8,27.2,27.65,10113630,27.65
CTG,2020-10-08,27.2,27.4,26.8,27.15,6514330,27.15
CTG,2020-10-07,27.1,27.75,27.0,27.0,8357770,27.0
CTG,2020-10-06,27.6,27.65,27.2,27.2,5909080,27.2
CTG,2020-10-05,27.5,27.65,27.25,27.5,5939210,27.5
CTG,2020-10-02,27.1,27.4,26.3,26.95,13241830,26.95
CTG,2020-10-01,26.85,27.0,26.55,26.6,5391110,26.6
CTG,2020-09-30,26.6,26.75,26.25,26.55,4764680,26.55
CTG,2020-09-29,27.4,27.4,26.6,26.6,5950290,26.6
