name,date,open,high,low,close,volume,adj_close
DAG,2020-10-26,6.72,6.79,6.69,6.69,296060,6.69
DAG,2020-10-23,6.73,6.8,6.7,6.71,440490,6.71
DAG,2020-10-22,6.73,6.75,6.61,6.73,233930,6.73
DAG,2020-10-21,6.74,6.8,6.7,6.75,321290,6.75
DAG,2020-10-20,6.69,6.79,6.69,6.74,378030,6.74
DAG,2020-10-19,6.75,6.79,6.65,6.69,240510,6.69
DAG,2020-10-16,6.7,6.75,6.66,6.7,243080,6.7
DAG,2020-10-15,6.75,6.8,6.61,6.7,307650,6.7
DAG,2020-10-14,6.76,6.79,6.73,6.75,305770,6.75
DAG,2020-10-13,6.75,6.8,6.65,6.75,334610,6.75
DAG,2020-10-12,6.8,6.9,6.6,6.75,296100,6.75
DAG,2020-10-09,6.9,6.95,6.78,6.8,347660,6.8
DAG,2020-10-08,6.95,6.99,6.8,6.9,351370,6.9
DAG,2020-10-07,6.97,6.99,6.91,6.95,308150,6.95
DAG,2020-10-06,6.78,7.0,6.78,6.96,648100,6.96
DAG,2020-10-05,6.76,6.8,6.7,6.76,327090,6.76
DAG,2020-10-02,6.78,6.9,6.6,6.72,235850,6.72
DAG,2020-10-01,6.7,6.89,6.69,6.78,237570,6.78
DAG,2020-09-30,6.7,6.8,6.69,6.7,203640,6.7
DAG,2020-09-29,6.65,6.72,6.65,6.7,345880,6.7
