name,date,open,high,low,close,volume,adj_close
DBD,2020-10-26,45.7,46.35,45.3,46.0,26320,46.0
DBD,2020-10-23,45.85,46.45,45.65,46.3,8850,46.3
DBD,2020-10-22,45.5,46.35,45.5,46.1,3370,46.1
DBD,2020-10-21,45.9,46.1,45.6,46.1,10230,46.1
DBD,2020-10-20,45.8,46.1,45.3,46.1,6870,46.1
DBD,2020-10-19,46.4,46.4,45.7,46.2,28250,46.2
DBD,2020-10-16,46.7,46.7,46.1,46.2,19440,46.2
DBD,2020-10-15,46.8,46.8,46.15,46.7,15680,46.7
DBD,2020-10-14,46.25,46.8,46.1,46.8,9940,46.8
DBD,2020-10-13,46.6,47.0,46.0,46.6,21500,46.6
DBD,2020-10-12,46.0,46.65,46.0,46.6,8250,46.6
DBD,2020-10-09,45.75,46.7,45.75,46.7,6920,46.7
DBD,2020-10-08,45.6,46.7,45.6,46.7,5550,46.7
DBD,2020-10-07,46.5,46.7,46.5,46.7,6520,46.7
DBD,2020-10-06,46.7,46.9,46.5,46.9,12290,46.9
DBD,2020-10-05,47.0,47.0,46.7,46.9,5750,46.9
DBD,2020-10-02,46.5,47.0,46.0,47.0,13690,47.0
DBD,2020-10-01,46.65,47.0,46.65,47.0,6760,47.0
DBD,2020-09-30,46.5,47.0,46.5,47.0,13090,47.0
DBD,2020-09-29,47.0,47.0,46.3,47.0,13240,47.0
