name,date,open,high,low,close,volume,adj_close
DCM,2020-10-26,12.8,12.9,12.55,12.55,1648640,12.55
DCM,2020-10-23,12.6,13.0,12.6,12.8,3964710,12.8
DCM,2020-10-22,12.4,12.6,12.3,12.6,2240150,12.6
DCM,2020-10-21,12.5,12.75,12.4,12.4,3619400,12.4
DCM,2020-10-20,12.3,12.45,12.25,12.45,2369750,12.45
DCM,2020-10-19,12.6,12.75,12.35,12.4,2381220,12.4
DCM,2020-10-16,12.15,12.8,11.9,12.55,10014980,12.55
DCM,2020-10-15,12.05,12.15,11.95,12.0,4456120,12.0
DCM,2020-10-14,12.0,12.05,11.8,11.95,1474130,11.95
DCM,2020-10-13,11.85,12.05,11.7,12.0,2969200,12.0
DCM,2020-10-12,12.1,12.2,11.85,11.95,3954970,11.95
DCM,2020-10-09,12.2,12.25,11.95,12.1,1690980,12.1
DCM,2020-10-08,11.75,12.25,11.55,12.1,7706100,12.1
DCM,2020-10-07,11.9,11.95,11.7,11.7,2431200,11.7
DCM,2020-10-06,12.2,12.2,11.85,12.0,2117120,12.0
DCM,2020-10-05,12.1,12.1,11.75,12.1,4798530,12.1
DCM,2020-10-02,11.7,11.75,11.1,11.7,5484570,11.7
DCM,2020-10-01,11.8,12.0,11.4,11.75,3824540,11.75
DCM,2020-09-30,11.8,12.1,11.4,11.85,3759410,11.85
DCM,2020-09-29,11.3,11.7,11.25,11.7,9543880,11.7
