name,date,open,high,low,close,volume,adj_close
DHC,2020-10-26,48.9,48.9,48.0,48.2,404730,48.2
DHC,2020-10-23,47.0,48.8,46.8,48.8,1276810,48.8
DHC,2020-10-22,45.8,46.6,45.8,46.6,403400,46.6
DHC,2020-10-21,46.5,46.6,46.0,46.0,564930,46.0
DHC,2020-10-20,45.2,46.15,45.2,46.15,416110,46.15
DHC,2020-10-19,45.1,45.5,45.1,45.2,165240,45.2
DHC,2020-10-16,44.75,45.75,44.75,45.3,319830,45.3
DHC,2020-10-15,45.7,45.7,45.0,45.0,214490,45.0
DHC,2020-10-14,45.7,45.7,45.4,45.5,173200,45.5
DHC,2020-10-13,45.25,45.6,45.05,45.55,295470,45.55
DHC,2020-10-12,46.0,46.0,45.3,45.55,405500,45.55
DHC,2020-10-09,45.8,46.0,45.4,45.7,449460,45.7
DHC,2020-10-08,46.1,46.1,45.25,45.8,214300,45.8
DHC,2020-10-07,46.0,46.2,45.25,45.8,416440,45.8
DHC,2020-10-06,45.45,46.45,45.4,46.0,924850,46.0
DHC,2020-10-05,45.1,45.55,45.0,45.35,471120,45.35
DHC,2020-10-02,45.8,45.8,44.7,45.0,615210,45.0
DHC,2020-10-01,45.9,45.9,45.3,45.6,331070,45.6
DHC,2020-09-30,45.1,45.7,45.0,45.5,555840,45.5
DHC,2020-09-29,45.9,45.9,45.0,45.1,653770,45.1
