name,date,open,high,low,close,volume,adj_close
DIG,2020-10-26,19.4,20.0,19.1,19.5,6975230,19.5
DIG,2020-10-23,19.5,19.6,19.05,19.2,1967510,19.2
DIG,2020-10-22,19.05,19.5,18.8,19.4,2432340,19.4
DIG,2020-10-21,19.6,20.1,19.1,19.1,2639450,19.1
DIG,2020-10-20,18.75,19.6,18.6,19.6,4615600,19.6
DIG,2020-10-19,18.2,19.1,17.95,18.75,4382630,18.75
DIG,2020-10-16,18.0,18.9,17.95,18.3,3603210,18.3
DIG,2020-10-15,17.9,18.1,17.4,17.9,2842470,17.9
DIG,2020-10-14,17.8,17.85,17.45,17.75,2202370,17.75
DIG,2020-10-13,18.0,18.2,17.85,17.85,1934130,17.85
DIG,2020-10-12,18.8,19.15,18.15,18.15,4457970,18.15
DIG,2020-10-09,18.4,18.5,17.85,18.4,3176960,18.4
DIG,2020-10-08,17.7,17.9,17.2,17.9,5360750,17.9
DIG,2020-10-07,17.65,18.6,17.55,17.7,3920670,17.7
DIG,2020-10-06,18.2,18.9,17.5,17.85,5528700,17.85
DIG,2020-10-05,18.4,18.45,17.5,18.4,7500610,18.4
DIG,2020-10-02,16.2,17.25,16.15,17.25,4112670,17.25
DIG,2020-10-01,15.5,16.15,15.35,16.15,3530660,16.15
DIG,2020-09-30,15.05,15.55,15.0,15.25,4110520,15.25
DIG,2020-09-29,15.35,15.6,14.8,15.05,2710770,15.05
