name,date,open,high,low,close,volume,adj_close
DPG,2020-10-26,27.4,27.4,26.4,26.4,221340,26.4
DPG,2020-10-23,26.4,27.1,26.0,27.1,338750,27.1
DPG,2020-10-22,26.15,26.2,25.5,26.0,284420,26.0
DPG,2020-10-21,26.6,26.6,25.8,25.8,404700,25.8
DPG,2020-10-20,26.0,27.3,25.75,26.7,288740,26.7
DPG,2020-10-19,26.7,26.9,26.2,26.2,234320,26.2
DPG,2020-10-16,26.8,27.0,26.4,26.7,308060,26.7
DPG,2020-10-15,27.6,27.7,27.0,27.0,226870,27.0
DPG,2020-10-14,28.05,28.15,27.55,27.6,244050,27.6
DPG,2020-10-13,26.6,28.2,25.5,28.1,590260,28.1
DPG,2020-10-12,27.75,28.0,26.6,26.7,670250,26.7
DPG,2020-10-09,28.65,28.75,27.0,27.75,604440,27.75
DPG,2020-10-08,28.85,29.15,28.4,28.65,396270,28.65
DPG,2020-10-07,28.75,29.5,28.7,28.85,550960,28.85
DPG,2020-10-06,29.5,29.9,28.9,29.05,727510,29.05
DPG,2020-10-05,29.2,29.7,28.8,29.6,501940,29.6
DPG,2020-10-02,30.0,30.0,27.2,29.2,805670,29.2
DPG,2020-10-01,27.7,29.2,27.6,29.2,1299170,29.2
DPG,2020-09-30,26.8,27.45,26.8,27.3,692640,27.3
DPG,2020-09-29,27.4,27.5,26.8,26.8,439250,26.8
