name,date,open,high,low,close,volume,adj_close
DPM,2020-10-26,17.25,17.3,16.95,16.95,1381570,16.95
DPM,2020-10-23,17.1,17.4,17.05,17.2,2186110,17.2
DPM,2020-10-22,16.95,17.0,16.8,16.95,854420,16.95
DPM,2020-10-21,17.3,17.35,16.95,16.95,2423220,16.95
DPM,2020-10-20,16.85,17.2,16.8,17.1,1573100,17.1
DPM,2020-10-19,17.1,17.15,16.85,16.85,1882060,16.85
DPM,2020-10-16,17.05,17.45,16.85,17.0,2184250,17.0
DPM,2020-10-15,16.9,17.3,16.65,17.1,2235330,17.1
DPM,2020-10-14,17.1,17.25,16.7,16.85,3203490,16.85
DPM,2020-10-13,17.2,17.25,17.0,17.1,2235410,17.1
DPM,2020-10-12,17.7,17.7,17.2,17.2,2253890,17.2
DPM,2020-10-09,17.65,17.75,17.35,17.4,2300460,17.4
DPM,2020-10-08,17.15,17.75,17.1,17.6,5228360,17.6
DPM,2020-10-07,17.0,17.35,17.0,17.05,2367880,17.05
DPM,2020-10-06,17.45,17.5,17.1,17.15,2029420,17.15
DPM,2020-10-05,17.5,17.55,17.2,17.3,2539610,17.3
DPM,2020-10-02,17.8,17.85,16.6,17.25,6038760,17.25
DPM,2020-10-01,17.9,17.95,17.7,17.8,3095040,17.8
DPM,2020-09-30,17.4,17.95,17.15,17.8,4360380,17.8
DPM,2020-09-29,17.8,18.1,17.2,17.25,4524490,17.25
