name,date,open,high,low,close,volume,adj_close
DPR,2020-10-26,44.0,46.2,44.0,45.0,108990,45.0
DPR,2020-10-23,42.4,43.2,42.4,43.2,22250,43.2
DPR,2020-10-22,42.3,42.3,41.85,42.0,1080,42.0
DPR,2020-10-21,41.5,42.3,41.5,42.3,4310,42.3
DPR,2020-10-20,41.3,42.0,41.3,41.9,7100,41.9
DPR,2020-10-19,40.5,42.05,40.5,41.4,3350,41.4
DPR,2020-10-16,41.0,42.0,40.6,41.1,8820,41.1
DPR,2020-10-15,42.0,42.0,40.55,40.55,10890,40.55
DPR,2020-10-14,42.85,42.85,42.0,42.0,11710,42.0
DPR,2020-10-13,42.8,42.8,42.0,42.8,10530,42.8
DPR,2020-10-12,43.0,43.0,41.75,42.8,1380,42.8
DPR,2020-10-09,43.0,43.0,42.2,42.8,29260,42.8
DPR,2020-10-08,41.85,43.0,41.5,42.75,9480,42.75
DPR,2020-10-07,42.0,42.0,41.8,41.8,9070,41.8
DPR,2020-10-06,42.1,42.5,41.8,42.0,18060,42.0
DPR,2020-10-05,41.6,42.05,41.6,42.0,25600,42.0
DPR,2020-10-02,42.1,42.1,41.5,42.0,18700,42.0
DPR,2020-10-01,42.2,42.75,42.0,42.0,42570,42.0
DPR,2020-09-30,40.9,42.75,40.9,42.75,145350,42.75
DPR,2020-09-29,40.05,41.5,40.05,40.85,25950,40.85
