name,date,open,high,low,close,volume,adj_close
DRC,2020-10-26,19.9,20.3,19.65,19.9,1422380,19.9
DRC,2020-10-23,19.95,20.0,19.75,19.75,363470,19.75
DRC,2020-10-22,19.8,19.95,19.5,19.95,668220,19.95
DRC,2020-10-21,20.15,20.4,19.9,19.95,639420,19.95
DRC,2020-10-20,20.2,20.6,20.1,20.3,978000,20.3
DRC,2020-10-19,19.8,20.4,19.65,20.2,957430,20.2
DRC,2020-10-16,19.45,20.15,19.35,19.7,701780,19.7
DRC,2020-10-15,19.25,19.6,19.25,19.45,774620,19.45
DRC,2020-10-14,19.75,19.75,19.3,19.35,1373620,19.35
DRC,2020-10-13,19.8,19.85,19.6,19.7,595380,19.7
DRC,2020-10-12,20.4,20.4,19.7,19.7,999590,19.7
DRC,2020-10-09,20.0,20.2,19.7,20.0,768630,20.0
DRC,2020-10-08,20.25,20.45,19.9,20.0,1289900,20.0
DRC,2020-10-07,20.5,20.8,20.2,20.25,953180,20.25
DRC,2020-10-06,21.1,21.2,20.6,20.6,1448890,20.6
DRC,2020-10-05,20.5,21.4,20.5,20.85,1293770,20.85
DRC,2020-10-02,21.2,21.2,20.0,20.6,1682350,20.6
DRC,2020-10-01,21.0,21.35,20.85,21.05,850440,21.05
DRC,2020-09-30,19.7,20.95,19.6,20.95,3253920,20.95
DRC,2020-09-29,20.1,20.5,19.6,19.6,2861280,19.6
