name,date,open,high,low,close,volume,adj_close
DXG,2020-10-26,12.2,12.25,11.8,11.8,3918830,11.8
DXG,2020-10-23,12.2,12.4,12.15,12.2,3599520,12.2
DXG,2020-10-22,11.65,12.2,11.65,12.2,5693450,12.2
DXG,2020-10-21,12.2,12.25,11.8,11.8,9070740,11.8
DXG,2020-10-20,12.05,12.25,11.9,12.25,6227250,12.25
DXG,2020-10-19,11.9,12.2,11.8,12.2,7954440,12.2
DXG,2020-10-16,11.1,11.9,11.0,11.9,13617210,11.9
DXG,2020-10-15,11.1,11.4,11.05,11.15,5082640,11.15
DXG,2020-10-14,11.05,11.15,11.0,11.1,1800370,11.1
DXG,2020-10-13,10.9,11.25,10.75,11.05,3564950,11.05
DXG,2020-10-12,11.3,11.4,10.8,10.85,6563040,10.85
DXG,2020-10-09,11.2,11.35,11.15,11.2,3533190,11.2
DXG,2020-10-08,11.3,11.4,11.05,11.15,7008310,11.15
DXG,2020-10-07,11.3,11.7,11.25,11.4,6639440,11.4
DXG,2020-10-06,11.2,11.4,10.9,11.4,7630010,11.4
DXG,2020-10-05,10.35,11.0,10.35,10.95,11928320,10.95
DXG,2020-10-02,10.35,10.45,10.05,10.3,3661860,10.3
DXG,2020-10-01,10.15,10.45,10.1,10.35,2928090,10.35
DXG,2020-09-30,10.05,10.25,10.05,10.1,3825560,10.1
DXG,2020-09-29,10.45,10.5,10.0,10.05,5110180,10.05
