name,date,open,high,low,close,volume,adj_close
EIB,2020-10-26,17.5,17.6,17.3,17.3,436770,17.3
EIB,2020-10-23,17.55,17.55,17.3,17.5,331950,17.5
EIB,2020-10-22,17.25,17.5,17.2,17.5,483020,17.5
EIB,2020-10-21,17.35,17.45,17.25,17.25,121910,17.25
EIB,2020-10-20,17.2,17.6,17.2,17.5,564550,17.5
EIB,2020-10-19,17.3,17.6,17.1,17.2,121840,17.2
EIB,2020-10-16,17.6,17.6,17.1,17.35,384180,17.35
EIB,2020-10-15,17.55,17.6,17.25,17.6,504220,17.6
EIB,2020-10-14,17.5,17.6,17.35,17.4,584060,17.4
EIB,2020-10-13,17.1,17.4,17.1,17.4,472900,17.4
EIB,2020-10-12,17.2,17.35,17.1,17.2,396660,17.2
EIB,2020-10-09,17.2,17.2,16.95,17.15,241720,17.15
EIB,2020-10-08,17.4,17.4,17.05,17.15,474680,17.15
EIB,2020-10-07,17.45,17.55,17.25,17.45,313680,17.45
EIB,2020-10-06,17.5,17.85,17.3,17.55,766900,17.55
EIB,2020-10-05,17.2,17.5,16.85,17.35,703860,17.35
EIB,2020-10-02,17.0,17.2,16.85,17.0,228550,17.0
EIB,2020-10-01,16.95,17.05,16.85,17.0,165370,17.0
EIB,2020-09-30,16.9,17.05,16.85,17.0,108610,17.0
EIB,2020-09-29,17.2,17.2,16.95,17.0,163100,17.0
