name,date,open,high,low,close,volume,adj_close
FLC,2020-10-26,4.48,4.55,4.15,4.15,18289130,4.15
FLC,2020-10-23,4.22,4.36,4.19,4.36,18641290,4.36
FLC,2020-10-22,4.12,4.14,4.07,4.08,6241470,4.08
FLC,2020-10-21,4.25,4.31,4.14,4.14,7222010,4.14
FLC,2020-10-20,4.25,4.3,4.19,4.24,4629810,4.24
FLC,2020-10-19,4.25,4.37,4.24,4.25,4964380,4.25
FLC,2020-10-16,4.29,4.37,4.2,4.23,8648720,4.23
FLC,2020-10-15,4.11,4.38,4.0,4.31,27790380,4.31
FLC,2020-10-14,4.26,4.4,4.1,4.1,12872280,4.1
FLC,2020-10-13,4.06,4.32,3.98,4.29,23302290,4.29
FLC,2020-10-12,3.84,4.06,3.72,4.04,19375440,4.04
FLC,2020-10-09,3.95,4.1,3.8,3.8,18636670,3.8
FLC,2020-10-08,4.2,4.3,4.0,4.0,16099560,4.0
FLC,2020-10-07,4.05,4.33,3.95,4.2,26941030,4.2
FLC,2020-10-06,3.86,4.06,3.78,4.05,30366950,4.05
FLC,2020-10-05,3.65,3.86,3.62,3.8,28626470,3.8
FLC,2020-10-02,3.4,3.62,3.34,3.61,30654060,3.61
FLC,2020-10-01,3.43,3.51,3.37,3.39,7358590,3.39
FLC,2020-09-30,3.42,3.55,3.35,3.43,7926960,3.43
FLC,2020-09-29,3.5,3.65,3.41,3.45,26261060,3.45
