name,date,open,high,low,close,volume,adj_close
FMC,2020-10-26,31.3,32.35,31.3,31.9,256320,31.9
FMC,2020-10-23,31.2,31.3,31.1,31.3,192090,31.3
FMC,2020-10-22,31.1,31.3,30.7,31.0,178130,31.0
FMC,2020-10-21,31.5,31.8,31.25,31.3,218550,31.3
FMC,2020-10-20,30.4,31.8,30.0,31.5,262330,31.5
FMC,2020-10-19,31.15,31.2,30.35,30.5,270890,30.5
FMC,2020-10-16,31.4,31.5,30.2,31.0,344880,31.0
FMC,2020-10-15,32.35,32.65,31.5,31.5,393110,31.5
FMC,2020-10-14,32.9,32.9,32.0,32.35,696070,32.35
FMC,2020-10-13,32.75,33.6,32.65,33.3,222590,33.3
FMC,2020-10-12,33.5,33.9,32.75,32.75,518150,32.75
FMC,2020-10-09,33.9,34.0,33.55,33.55,222730,33.55
FMC,2020-10-08,34.5,34.5,33.55,33.6,319980,33.6
FMC,2020-10-07,34.3,35.3,34.15,34.2,685310,34.2
FMC,2020-10-06,34.5,34.65,33.9,34.2,552030,34.2
FMC,2020-10-05,33.6,34.55,33.6,34.0,497870,34.0
FMC,2020-10-02,34.5,34.55,33.05,33.6,294420,33.6
FMC,2020-10-01,34.45,34.7,33.7,34.15,441600,34.15
FMC,2020-09-30,34.0,34.2,33.4,34.15,473600,34.15
FMC,2020-09-29,35.1,35.1,34.1,34.2,434810,34.2
