name,date,open,high,low,close,volume,adj_close
FPT,2020-10-26,53.9,54.5,52.8,52.8,3852510,52.8
FPT,2020-10-23,54.2,54.5,53.5,53.9,2646310,53.9
FPT,2020-10-22,52.8,54.0,52.6,54.0,2346540,54.0
FPT,2020-10-21,53.2,54.5,52.8,52.8,3305010,52.8
FPT,2020-10-20,53.1,53.3,52.5,53.2,1886160,53.2
FPT,2020-10-19,53.6,53.8,53.0,53.3,2333670,53.3
FPT,2020-10-16,51.2,53.9,50.9,53.2,5769540,53.2
FPT,2020-10-15,51.2,51.4,50.7,51.2,1925370,51.2
FPT,2020-10-14,50.8,51.4,50.4,51.0,2409760,51.0
FPT,2020-10-13,50.9,51.0,50.5,50.7,1222200,50.7
FPT,2020-10-12,50.9,51.4,50.6,50.9,1550680,50.9
FPT,2020-10-09,51.0,51.2,50.8,50.8,1173500,50.8
FPT,2020-10-08,50.5,51.5,50.3,51.1,3062690,51.1
FPT,2020-10-07,50.2,50.7,50.2,50.4,1493710,50.4
FPT,2020-10-06,50.8,50.9,50.3,50.5,1520290,50.5
FPT,2020-10-05,50.4,50.8,49.9,50.5,1498360,50.5
FPT,2020-10-02,50.8,51.1,49.0,50.3,1947940,50.3
FPT,2020-10-01,50.2,50.8,50.2,50.8,905510,50.8
FPT,2020-09-30,50.2,50.4,49.75,50.0,2500310,50.0
FPT,2020-09-29,51.4,51.4,50.2,50.2,1900490,50.2
