name,date,open,high,low,close,volume,adj_close
FRT,2020-10-26,23.5,23.5,22.9,22.9,391240,22.9
FRT,2020-10-23,23.2,23.45,23.2,23.4,323350,23.4
FRT,2020-10-22,23.1,23.3,23.0,23.1,139600,23.1
FRT,2020-10-21,23.0,23.4,23.0,23.05,504460,23.05
FRT,2020-10-20,23.4,23.45,22.9,23.1,547670,23.1
FRT,2020-10-19,23.6,23.6,23.25,23.4,243770,23.4
FRT,2020-10-16,23.3,23.85,23.15,23.6,355910,23.6
FRT,2020-10-15,23.7,23.8,23.1,23.3,812630,23.3
FRT,2020-10-14,24.1,24.1,23.65,23.7,437850,23.7
FRT,2020-10-13,23.9,24.1,23.5,23.9,496240,23.9
FRT,2020-10-12,24.5,24.75,23.6,23.6,916090,23.6
FRT,2020-10-09,24.5,24.7,24.0,24.45,460110,24.45
FRT,2020-10-08,25.15,25.25,24.45,24.6,422260,24.6
FRT,2020-10-07,24.5,25.5,24.5,25.05,1545270,25.05
FRT,2020-10-06,24.1,24.45,24.0,24.45,630260,24.45
FRT,2020-10-05,24.4,24.4,23.95,24.05,434310,24.05
FRT,2020-10-02,24.3,24.55,23.6,24.1,644280,24.1
FRT,2020-10-01,24.0,24.35,24.0,24.2,292600,24.2
FRT,2020-09-30,23.8,24.0,23.6,24.0,560360,24.0
FRT,2020-09-29,24.35,24.5,23.8,23.8,768700,23.8
