name,date,open,high,low,close,volume,adj_close
FUESSV30,2020-10-26,0,12.02,12.02,11.56,,11.56
FUESSV30,2020-10-23,0,11.42,12.02,12.02,,12.02
FUESSV30,2020-10-22,0,11.17,11.26,11.26,,11.26
FUESSV30,2020-10-21,0,11.25,11.36,11.2,,11.2
FUESSV30,2020-10-20,0,11.15,11.21,11.19,,11.19
FUESSV30,2020-10-19,0,11.17,11.17,11.15,,11.15
FUESSV30,2020-10-16,0,11.11,11.22,11.11,,11.11
FUESSV30,2020-10-15,0,11.06,11.09,11.09,,11.09
FUESSV30,2020-10-14,0,10.91,11.0,11.0,,11.0
FUESSV30,2020-10-13,434400000,10.84,10.91,10.91,,10.91
FUESSV30,2020-10-12,0,10.86,10.86,10.84,,10.84
FUESSV30,2020-10-09,0,10.76,10.77,10.77,,10.77
FUESSV30,2020-10-08,1076000000,10.77,10.77,10.77,,10.77
FUESSV30,2020-10-07,0,10.78,10.83,10.82,,10.82
FUESSV30,2020-10-06,0,10.79,10.79,10.77,,10.77
FUESSV30,2020-10-05,0,10.71,10.75,10.75,,10.75
FUESSV30,2020-10-02,0,10.75,10.75,10.68,,10.68
FUESSV30,2020-10-01,0,10.7,10.71,10.71,,10.71
FUESSV30,2020-09-30,0,10.61,10.68,10.68,,10.68
FUESSV30,2020-09-29,0,10.65,10.76,10.66,,10.66
