name,date,open,high,low,close,volume,adj_close
FUESSVFL,2020-10-26,0,11.21,11.25,11.09,,11.09
FUESSVFL,2020-10-23,0,11.21,11.21,11.21,,11.21
FUESSVFL,2020-10-22,0,11.06,11.1,11.1,,11.1
FUESSVFL,2020-10-21,0,11.19,11.25,11.09,,11.09
FUESSVFL,2020-10-20,0,10.92,11.09,11.09,,11.09
FUESSVFL,2020-10-19,0,10.97,11.06,10.95,,10.95
FUESSVFL,2020-10-16,0,10.16,10.92,10.92,,10.92
FUESSVFL,2020-10-15,0,10.72,10.8,10.75,,10.75
FUESSVFL,2020-10-14,0,10.21,10.74,10.64,,10.64
FUESSVFL,2020-10-13,0,10.45,10.46,10.46,,10.46
FUESSVFL,2020-10-12,0,10.52,10.52,10.45,,10.45
FUESSVFL,2020-10-09,0,10.32,10.39,10.39,,10.39
FUESSVFL,2020-10-08,0,10.39,10.39,10.32,,10.32
FUESSVFL,2020-10-07,0,10.49,10.52,10.5,,10.5
FUESSVFL,2020-10-06,0,10.49,10.49,10.49,,10.49
FUESSVFL,2020-10-05,7245000000,10.42,10.44,10.44,,10.44
FUESSVFL,2020-10-02,0,10.4,10.49,10.33,,10.33
FUESSVFL,2020-10-01,0,10.4,10.4,10.4,,10.4
FUESSVFL,2020-09-30,0,10.3,10.38,10.38,,10.38
FUESSVFL,2020-09-29,15675000000,10.41,10.47,10.35,,10.35
