name,date,open,high,low,close,volume,adj_close
GAS,2020-10-26,73.6,74.0,72.0,72.0,649920,72.0
GAS,2020-10-23,73.8,74.2,73.4,73.5,606780,73.5
GAS,2020-10-22,72.3,73.7,71.9,73.7,796300,73.7
GAS,2020-10-21,73.0,73.4,72.3,72.3,950020,72.3
GAS,2020-10-20,73.5,74.0,72.5,72.6,1119350,72.6
GAS,2020-10-19,75.5,76.0,73.9,74.0,1196620,74.0
GAS,2020-10-16,75.0,76.0,74.4,75.4,1091120,75.4
GAS,2020-10-15,76.0,76.9,75.0,75.0,1377170,75.0
GAS,2020-10-14,75.5,76.2,74.9,75.2,1263470,75.2
GAS,2020-10-13,75.1,75.7,74.7,75.0,596720,75.0
GAS,2020-10-12,74.3,76.6,74.0,75.0,1917010,75.0
GAS,2020-10-09,75.0,75.0,74.1,74.3,438960,74.3
GAS,2020-10-08,74.9,75.2,74.1,74.6,774540,74.6
GAS,2020-10-07,72.5,75.3,72.2,74.1,2294270,74.1
GAS,2020-10-06,72.8,73.2,72.4,72.5,763230,72.5
GAS,2020-10-05,71.9,72.8,71.6,72.5,704400,72.5
GAS,2020-10-02,72.4,72.5,71.1,71.9,612860,71.9
GAS,2020-10-01,71.5,72.4,71.5,72.4,252570,72.4
GAS,2020-09-30,71.5,72.0,71.3,71.3,615450,71.3
GAS,2020-09-29,72.2,73.0,71.5,71.5,1073200,71.5
