name,date,open,high,low,close,volume,adj_close
GEG,2020-10-26,15.2,15.4,14.95,14.95,372850,14.95
GEG,2020-10-23,15.25,15.5,15.15,15.15,396490,15.15
GEG,2020-10-22,15.5,15.6,15.0,15.25,440970,15.25
GEG,2020-10-21,15.8,15.8,15.5,15.5,431910,15.5
GEG,2020-10-20,15.8,15.95,15.75,15.8,332330,15.8
GEG,2020-10-19,15.8,16.1,15.8,15.8,383620,15.8
GEG,2020-10-16,16.1,16.2,15.45,15.8,489310,15.8
GEG,2020-10-15,16.3,16.3,15.9,16.1,345810,16.1
GEG,2020-10-14,16.3,16.5,16.0,16.3,343340,16.3
GEG,2020-10-13,16.6,16.6,16.0,16.3,337000,16.3
GEG,2020-10-12,16.8,17.1,16.5,16.55,403650,16.55
GEG,2020-10-09,16.65,16.95,16.6,16.75,387620,16.75
GEG,2020-10-08,17.0,17.0,16.5,16.65,394230,16.65
GEG,2020-10-07,17.3,17.3,16.9,17.0,494260,17.0
GEG,2020-10-06,16.9,17.5,16.9,17.2,806160,17.2
GEG,2020-10-05,15.85,16.8,15.85,16.8,775500,16.8
GEG,2020-10-02,15.9,16.1,15.7,15.8,344670,15.8
GEG,2020-10-01,15.9,16.0,15.8,15.9,305980,15.9
GEG,2020-09-30,16.4,16.4,15.7,15.9,328770,15.9
GEG,2020-09-29,16.2,16.4,16.0,16.4,532210,16.4
