name,date,open,high,low,close,volume,adj_close
GEX,2020-10-26,21.3,21.3,20.5,20.5,7395320,20.5
GEX,2020-10-23,21.5,21.55,21.0,21.25,8677650,21.25
GEX,2020-10-22,21.3,21.45,20.65,21.45,6477700,21.45
GEX,2020-10-21,21.0,21.3,20.95,21.25,8699270,21.25
GEX,2020-10-20,20.9,20.9,20.05,20.65,10075750,20.65
GEX,2020-10-19,21.9,21.95,20.95,21.0,11274060,21.0
GEX,2020-10-16,22.35,22.35,21.75,21.85,7655700,21.85
GEX,2020-10-15,22.25,22.65,22.05,22.3,5922590,22.3
GEX,2020-10-14,22.8,22.9,22.15,22.25,6427840,22.25
GEX,2020-10-13,22.6,22.9,22.15,22.8,4471410,22.8
GEX,2020-10-12,22.9,23.4,22.5,22.6,4466010,22.6
GEX,2020-10-09,22.6,23.7,22.0,22.8,7724430,22.8
GEX,2020-10-08,23.4,23.4,22.5,22.6,5867110,22.6
GEX,2020-10-07,23.7,23.7,23.3,23.3,4323990,23.3
GEX,2020-10-06,23.95,24.1,23.65,23.7,3362410,23.7
GEX,2020-10-05,23.8,23.95,23.65,23.8,3046810,23.8
GEX,2020-10-02,24.1,24.2,23.0,23.7,5124070,23.7
GEX,2020-10-01,23.7,24.1,23.7,24.1,5291390,24.1
GEX,2020-09-30,23.65,23.65,23.4,23.65,4056310,23.65
GEX,2020-09-29,23.65,23.9,23.55,23.6,6138590,23.6
