name,date,open,high,low,close,volume,adj_close
GMD,2020-10-26,23.9,23.9,23.45,23.5,605400,23.5
GMD,2020-10-23,23.45,23.75,23.45,23.7,471190,23.7
GMD,2020-10-22,23.6,23.6,23.3,23.45,285370,23.45
GMD,2020-10-21,23.7,23.75,23.5,23.5,287660,23.5
GMD,2020-10-20,24.0,24.0,23.55,23.7,400630,23.7
GMD,2020-10-19,23.55,23.95,23.5,23.8,299140,23.8
GMD,2020-10-16,23.55,23.7,23.3,23.55,462700,23.55
GMD,2020-10-15,23.8,24.0,23.65,23.65,285370,23.65
GMD,2020-10-14,23.9,23.9,23.65,23.8,322390,23.8
GMD,2020-10-13,23.95,24.0,23.6,23.7,320640,23.7
GMD,2020-10-12,24.5,24.5,23.95,23.95,482380,23.95
GMD,2020-10-09,24.3,24.45,24.1,24.2,323030,24.2
GMD,2020-10-08,24.5,24.5,24.05,24.25,700500,24.25
GMD,2020-10-07,24.7,24.8,24.3,24.5,587430,24.5
GMD,2020-10-06,25.3,25.3,24.6,24.7,600240,24.7
GMD,2020-10-05,24.25,25.3,24.2,25.0,1003420,25.0
GMD,2020-10-02,24.15,24.2,23.6,24.2,858770,24.2
GMD,2020-10-01,24.0,24.4,24.0,24.1,559230,24.1
GMD,2020-09-30,23.4,24.0,23.4,23.95,494620,23.95
GMD,2020-09-29,23.75,23.85,23.5,23.5,803470,23.5
