name,date,open,high,low,close,volume,adj_close
HAG,2020-10-26,4.94,4.94,4.78,4.78,5651330,4.78
HAG,2020-10-23,4.73,4.97,4.73,4.87,7036750,4.87
HAG,2020-10-22,4.75,4.77,4.67,4.72,6067690,4.72
HAG,2020-10-21,4.85,4.9,4.75,4.75,5354680,4.75
HAG,2020-10-20,4.87,4.95,4.8,4.85,6861810,4.85
HAG,2020-10-19,4.91,5.01,4.84,4.91,9808080,4.91
HAG,2020-10-16,5.01,5.05,4.9,4.9,7871120,4.9
HAG,2020-10-15,5.3,5.3,4.99,5.03,32371800,5.03
HAG,2020-10-14,4.96,4.96,4.96,4.96,5650810,4.96
HAG,2020-10-13,4.52,4.67,4.49,4.64,8362670,4.64
HAG,2020-10-12,4.7,4.72,4.5,4.5,8229570,4.5
HAG,2020-10-09,4.79,4.8,4.6,4.68,4807460,4.68
HAG,2020-10-08,4.85,4.93,4.75,4.8,8815320,4.8
HAG,2020-10-07,4.68,4.93,4.62,4.85,12586830,4.85
HAG,2020-10-06,4.75,4.75,4.57,4.69,5195620,4.69
HAG,2020-10-05,4.54,4.75,4.51,4.71,9345570,4.71
HAG,2020-10-02,4.51,4.58,4.44,4.54,4819580,4.54
HAG,2020-10-01,4.58,4.58,4.51,4.55,2098660,4.55
HAG,2020-09-30,4.56,4.6,4.5,4.56,2097030,4.56
HAG,2020-09-29,4.61,4.62,4.4,4.56,8274800,4.56
