name,date,open,high,low,close,volume,adj_close
HBC,2020-10-26,10.9,11.05,10.7,10.7,4408710,10.7
HBC,2020-10-23,11.1,11.25,10.9,10.9,4542590,10.9
HBC,2020-10-22,10.95,11.15,10.85,11.05,2955340,11.05
HBC,2020-10-21,11.35,11.4,11.05,11.05,3937160,11.05
HBC,2020-10-20,11.3,11.4,11.15,11.3,4397370,11.3
HBC,2020-10-19,11.1,11.45,11.05,11.4,8095860,11.4
HBC,2020-10-16,11.0,11.15,10.8,11.0,5216050,11.0
HBC,2020-10-15,10.75,11.15,10.7,10.8,5890720,10.8
HBC,2020-10-14,10.8,10.9,10.75,10.75,3689870,10.75
HBC,2020-10-13,10.8,10.95,10.65,10.8,4379270,10.8
HBC,2020-10-12,11.45,11.45,10.8,10.8,7067870,10.8
HBC,2020-10-09,11.15,11.3,11.0,11.3,4060990,11.3
HBC,2020-10-08,11.45,11.45,11.05,11.1,7047200,11.1
HBC,2020-10-07,11.5,11.7,11.3,11.3,7597740,11.3
HBC,2020-10-06,11.75,12.0,11.55,11.7,8189920,11.7
HBC,2020-10-05,11.05,11.65,11.05,11.5,8808080,11.5
HBC,2020-10-02,10.9,11.5,10.75,11.05,13340990,11.05
HBC,2020-10-01,10.95,11.1,10.85,10.9,4456310,10.9
HBC,2020-09-30,10.7,10.9,10.5,10.85,4554630,10.85
HBC,2020-09-29,11.35,11.4,10.65,10.65,6644340,10.65
