name,date,open,high,low,close,volume,adj_close
HCM,2020-10-26,22.1,22.6,21.9,21.9,2987730,21.9
HCM,2020-10-23,22.3,22.4,22.0,22.1,2136830,22.1
HCM,2020-10-22,21.75,22.3,21.5,22.3,3454050,22.3
HCM,2020-10-21,23.05,23.05,22.0,22.0,4719090,22.0
HCM,2020-10-20,22.8,23.1,22.5,23.0,1710120,23.0
HCM,2020-10-19,22.8,23.45,22.7,22.9,4070010,22.9
HCM,2020-10-16,22.4,22.55,21.95,22.45,2646120,22.45
HCM,2020-10-15,22.6,22.75,22.15,22.35,2692260,22.35
HCM,2020-10-14,22.05,22.5,21.9,22.35,2775270,22.35
HCM,2020-10-13,22.15,22.15,21.7,22.0,1327320,22.0
HCM,2020-10-12,22.8,22.85,22.0,22.15,2700580,22.15
HCM,2020-10-09,22.3,22.65,22.15,22.55,3225430,22.55
HCM,2020-10-08,21.95,22.05,21.65,22.05,2467840,22.05
HCM,2020-10-07,21.8,22.3,21.75,21.8,3209830,21.8
HCM,2020-10-06,22.3,22.45,21.8,22.0,3758740,22.0
HCM,2020-10-05,22.1,22.45,22.0,22.3,2197570,22.3
HCM,2020-10-02,22.1,22.4,21.0,21.8,4488560,21.8
HCM,2020-10-01,21.25,22.45,21.15,22.15,5563550,22.15
HCM,2020-09-30,20.7,21.05,20.65,21.0,2753770,21.0
HCM,2020-09-29,20.8,21.3,20.7,20.75,3727020,20.75
