name,date,open,high,low,close,volume,adj_close
HDB,2020-10-26,25.3,25.45,25.0,25.0,1907620,25.0
HDB,2020-10-23,25.3,25.45,25.1,25.45,1969110,25.45
HDB,2020-10-22,25.3,25.45,25.0,25.25,1653550,25.25
HDB,2020-10-21,25.6,25.8,25.25,25.3,2268450,25.3
HDB,2020-10-20,24.7,25.6,24.7,25.3,2366670,25.3
HDB,2020-10-19,24.9,24.9,24.6,24.75,1258750,24.75
HDB,2020-10-16,24.6,25.0,24.4,24.8,1495300,24.8
HDB,2020-10-15,24.4,24.6,24.2,24.6,1323190,24.6
HDB,2020-10-14,24.0,24.4,23.9,24.25,1323940,24.25
HDB,2020-10-13,24.35,24.4,24.0,24.0,1414340,24.0
HDB,2020-10-12,24.6,24.7,24.3,24.35,1352010,24.35
HDB,2020-10-09,24.65,24.65,24.5,24.5,1414530,24.5
HDB,2020-10-08,24.6,24.75,24.3,24.5,1506280,24.5
HDB,2020-10-07,24.5,24.8,24.45,24.7,1388290,24.7
HDB,2020-10-06,24.85,25.0,24.65,24.7,1594250,24.7
HDB,2020-10-05,24.9,25.0,24.7,24.8,1003200,24.8
HDB,2020-10-02,25.0,25.05,24.2,24.7,1937670,24.7
HDB,2020-10-01,24.7,25.1,24.65,24.8,2899450,24.8
HDB,2020-09-30,31.4,31.45,31.1,31.3,2597730,24.08
HDB,2020-09-29,31.5,32.0,31.25,31.25,2066420,24.04
