name,date,open,high,low,close,volume,adj_close
HDG,2020-10-26,24.65,25.45,24.65,24.9,1446180,24.9
HDG,2020-10-23,24.4,24.7,24.35,24.65,645250,24.65
HDG,2020-10-22,24.4,24.4,24.2,24.35,315860,24.35
HDG,2020-10-21,24.7,24.7,24.35,24.45,687460,24.45
HDG,2020-10-20,24.5,24.8,24.3,24.6,611010,24.6
HDG,2020-10-19,24.0,24.8,24.0,24.5,827930,24.5
HDG,2020-10-16,24.1,24.2,23.65,24.0,1312000,24.0
HDG,2020-10-15,25.0,25.25,24.1,24.1,1816090,24.1
HDG,2020-10-14,25.1,25.3,25.0,25.0,1024380,25.0
HDG,2020-10-13,25.4,25.5,25.0,25.1,1631590,25.1
HDG,2020-10-12,25.55,25.8,25.35,25.4,1374880,25.4
HDG,2020-10-09,25.45,25.7,25.4,25.55,1058990,25.55
HDG,2020-10-08,25.85,25.85,25.3,25.5,2620120,25.5
HDG,2020-10-07,25.6,26.25,25.5,25.7,2387280,25.7
HDG,2020-10-06,25.9,25.9,25.55,25.75,1436070,25.75
HDG,2020-10-05,25.0,25.8,24.9,25.75,2816750,25.75
HDG,2020-10-02,25.3,25.45,24.3,25.0,2985170,25.0
HDG,2020-10-01,25.3,25.5,25.05,25.3,1976370,25.3
HDG,2020-09-30,24.35,24.9,24.25,24.9,2736490,24.9
HDG,2020-09-29,24.25,24.95,24.15,24.25,2524220,24.25
