name,date,open,high,low,close,volume,adj_close
HPG,2020-10-26,31.0,32.0,30.7,30.8,20357350,30.8
HPG,2020-10-23,29.8,30.9,29.65,30.9,29534980,30.9
HPG,2020-10-22,29.0,29.6,28.9,29.6,13072020,29.6
HPG,2020-10-21,29.45,29.6,29.0,29.1,10669590,29.1
HPG,2020-10-20,28.75,29.35,28.7,29.35,13319200,29.35
HPG,2020-10-19,29.15,29.25,28.85,28.9,10939140,28.9
HPG,2020-10-16,29.2,29.5,28.95,29.1,17319070,29.1
HPG,2020-10-15,30.0,30.0,29.05,29.05,30525160,29.05
HPG,2020-10-14,27.95,28.35,27.8,28.35,14240330,28.35
HPG,2020-10-13,28.2,28.25,27.9,28.0,10665790,28.0
HPG,2020-10-12,28.65,28.75,28.05,28.25,12258740,28.25
HPG,2020-10-09,28.2,28.7,28.0,28.5,9464850,28.5
HPG,2020-10-08,28.0,28.1,27.7,28.1,18239670,28.1
HPG,2020-10-07,28.1,28.3,27.8,27.8,14752610,27.8
HPG,2020-10-06,27.45,28.25,27.2,28.25,23609700,28.25
HPG,2020-10-05,26.85,27.4,26.85,27.35,12791350,27.35
HPG,2020-10-02,27.05,27.25,26.0,26.7,20213120,26.7
HPG,2020-10-01,26.6,27.2,26.5,27.0,17161730,27.0
HPG,2020-09-30,26.35,26.55,26.1,26.4,12985480,26.4
HPG,2020-09-29,26.45,26.8,26.35,26.35,18456820,26.35
