name,date,open,high,low,close,volume,adj_close
HSG,2020-10-26,15.4,15.8,15.25,15.25,10384870,15.25
HSG,2020-10-23,15.5,15.7,15.4,15.4,10970380,15.4
HSG,2020-10-22,15.25,15.5,15.15,15.45,8271810,15.45
HSG,2020-10-21,15.8,15.8,15.1,15.2,9246450,15.2
HSG,2020-10-20,14.65,15.6,14.6,15.6,12964110,15.6
HSG,2020-10-19,15.1,15.15,14.5,14.65,12948750,14.65
HSG,2020-10-16,15.1,15.35,14.95,15.05,10840330,15.05
HSG,2020-10-15,15.3,15.45,15.05,15.1,8383990,15.1
HSG,2020-10-14,15.4,15.45,15.0,15.1,11996590,15.1
HSG,2020-10-13,15.7,15.95,15.25,15.35,13967970,15.35
HSG,2020-10-12,15.85,16.1,15.6,15.8,15016420,15.8
HSG,2020-10-09,15.85,15.9,15.65,15.7,5523920,15.7
HSG,2020-10-08,16.0,16.1,15.65,15.75,12025260,15.75
HSG,2020-10-07,15.65,16.4,15.5,15.8,17773570,15.8
HSG,2020-10-06,15.6,15.8,15.3,15.75,9015710,15.75
HSG,2020-10-05,15.6,15.85,15.35,15.45,11406940,15.45
HSG,2020-10-02,15.9,15.9,14.85,15.45,21207030,15.45
HSG,2020-10-01,15.9,16.45,15.65,15.8,10976300,15.8
HSG,2020-09-30,15.3,15.85,14.85,15.65,15238890,15.65
HSG,2020-09-29,16.1,16.15,15.2,15.2,23085250,15.2
