name,date,open,high,low,close,volume,adj_close
HT1,2020-10-26,15.95,16.0,15.55,15.6,1378370,15.6
HT1,2020-10-23,16.1,16.2,15.9,16.0,1149300,16.0
HT1,2020-10-22,16.0,16.35,15.95,16.2,773310,16.2
HT1,2020-10-21,16.6,16.75,15.95,16.0,3836220,16.0
HT1,2020-10-20,16.8,16.95,16.65,16.85,611120,16.85
HT1,2020-10-19,17.1,17.2,16.8,16.95,440540,16.95
HT1,2020-10-16,16.5,17.15,16.45,17.0,1641150,17.0
HT1,2020-10-15,16.8,17.0,16.55,16.55,1245140,16.55
HT1,2020-10-14,16.85,17.35,16.7,16.9,1159120,16.9
HT1,2020-10-13,17.0,17.05,16.75,16.85,643830,16.85
HT1,2020-10-12,17.2,17.6,16.9,17.0,1629620,17.0
HT1,2020-10-09,16.55,17.05,16.55,17.0,1699000,17.0
HT1,2020-10-08,16.75,16.75,16.2,16.45,1513280,16.45
HT1,2020-10-07,16.75,16.95,16.6,16.7,1119900,16.7
HT1,2020-10-06,17.15,17.15,16.8,16.8,1345580,16.8
HT1,2020-10-05,16.5,17.15,16.5,17.15,2343250,17.15
HT1,2020-10-02,16.2,16.55,15.85,16.35,2303790,16.35
HT1,2020-10-01,15.8,16.25,15.7,16.1,1856170,16.1
HT1,2020-09-30,15.5,15.7,15.4,15.6,722690,15.6
HT1,2020-09-29,15.75,16.0,15.6,15.6,1044530,15.6
