name,date,open,high,low,close,volume,adj_close
IMP,2020-10-26,47.0,47.0,46.2,46.65,34610,46.65
IMP,2020-10-23,46.6,46.7,46.1,46.6,48410,46.6
IMP,2020-10-22,46.75,46.75,46.3,46.4,21380,46.4
IMP,2020-10-21,46.75,47.25,46.5,46.75,41250,46.75
IMP,2020-10-20,47.1,47.2,46.4,46.7,74960,46.7
IMP,2020-10-19,47.0,47.5,47.0,47.1,49190,47.1
IMP,2020-10-16,47.7,47.7,46.7,47.3,101730,47.3
IMP,2020-10-15,47.9,47.9,47.2,47.5,51270,47.5
IMP,2020-10-14,47.9,48.0,47.45,47.6,53940,47.6
IMP,2020-10-13,47.2,48.3,47.2,47.8,102620,47.8
IMP,2020-10-12,47.5,47.7,47.3,47.3,40340,47.3
IMP,2020-10-09,47.9,47.9,47.5,47.5,37910,47.5
IMP,2020-10-08,47.7,47.95,47.6,47.7,60040,47.7
IMP,2020-10-07,48.0,48.0,47.6,47.7,58530,47.7
IMP,2020-10-06,48.1,48.1,47.7,48.0,52400,48.0
IMP,2020-10-05,48.3,48.3,47.7,47.85,40910,47.85
IMP,2020-10-02,48.05,48.05,47.4,47.85,93350,47.85
IMP,2020-10-01,48.25,48.4,47.8,48.05,74270,48.05
IMP,2020-09-30,47.8,48.0,47.5,48.0,52360,48.0
IMP,2020-09-29,48.35,48.35,47.8,47.8,71530,47.8
