name,date,open,high,low,close,volume,adj_close
ITA,2020-10-26,5.13,5.18,4.78,4.78,13359150,4.78
ITA,2020-10-23,5.16,5.22,5.09,5.1,8295890,5.1
ITA,2020-10-22,5.08,5.15,5.06,5.13,9114450,5.13
ITA,2020-10-21,5.21,5.27,5.05,5.05,8811750,5.05
ITA,2020-10-20,5.05,5.28,5.03,5.18,13338820,5.18
ITA,2020-10-19,5.0,5.1,4.99,5.04,8193030,5.04
ITA,2020-10-16,4.95,5.03,4.9,4.96,11523340,4.96
ITA,2020-10-15,5.1,5.12,4.95,4.95,10409740,4.95
ITA,2020-10-14,5.2,5.25,5.07,5.07,10716580,5.07
ITA,2020-10-13,5.0,5.26,4.9,5.15,17517170,5.15
ITA,2020-10-12,5.32,5.38,4.99,4.99,13865620,4.99
ITA,2020-10-09,5.23,5.31,5.14,5.3,20216160,5.3
ITA,2020-10-08,5.48,5.5,5.17,5.29,29391610,5.29
ITA,2020-10-07,5.19,5.28,5.1,5.28,17101680,5.28
ITA,2020-10-06,4.66,4.94,4.66,4.94,31901310,4.94
ITA,2020-10-05,4.58,4.68,4.52,4.62,10336870,4.62
ITA,2020-10-02,4.59,4.66,4.4,4.51,12598390,4.51
ITA,2020-10-01,4.6,4.63,4.53,4.54,7782810,4.54
ITA,2020-09-30,4.55,4.6,4.48,4.55,8110410,4.55
ITA,2020-09-29,4.7,4.71,4.5,4.5,12890040,4.5
