name,date,open,high,low,close,volume,adj_close
KBC,2020-10-26,14.7,14.7,14.35,14.4,2015740,14.4
KBC,2020-10-23,14.65,14.8,14.6,14.7,1035230,14.7
KBC,2020-10-22,14.8,14.9,14.65,14.75,3368700,14.75
KBC,2020-10-21,14.8,14.9,14.6,14.75,2236230,14.75
KBC,2020-10-20,14.8,14.95,14.6,14.8,1450790,14.8
KBC,2020-10-19,14.7,15.0,14.7,14.8,1944300,14.8
KBC,2020-10-16,14.7,14.75,14.35,14.6,2448480,14.6
KBC,2020-10-15,14.6,14.85,14.6,14.65,3061810,14.65
KBC,2020-10-14,14.5,14.85,14.5,14.7,2624710,14.7
KBC,2020-10-13,14.35,14.65,14.35,14.4,1971320,14.4
KBC,2020-10-12,14.6,14.65,14.35,14.35,1845310,14.35
KBC,2020-10-09,14.6,14.7,14.45,14.6,1836890,14.6
KBC,2020-10-08,14.8,14.95,14.5,14.65,3019630,14.65
KBC,2020-10-07,15.0,15.2,14.8,14.8,2948240,14.8
KBC,2020-10-06,14.35,15.1,14.35,15.0,5841330,15.0
KBC,2020-10-05,14.35,14.35,14.15,14.35,1898260,14.35
KBC,2020-10-02,14.3,14.4,13.5,14.1,4060050,14.1
KBC,2020-10-01,14.3,14.35,14.15,14.3,1899380,14.3
KBC,2020-09-30,13.95,14.2,13.95,14.2,2314850,14.2
KBC,2020-09-29,14.35,14.4,13.9,13.95,2821550,13.95
