name,date,open,high,low,close,volume,adj_close
KDC,2020-10-26,35.8,35.9,35.2,35.4,590070,35.4
KDC,2020-10-23,35.6,35.95,35.35,35.6,432090,35.6
KDC,2020-10-22,35.75,36.05,35.5,35.6,394050,35.6
KDC,2020-10-21,35.7,36.15,35.45,35.75,371550,35.75
KDC,2020-10-20,35.85,36.2,35.45,35.7,385250,35.7
KDC,2020-10-19,36.0,36.3,35.35,35.8,629300,35.8
KDC,2020-10-16,36.2,36.5,35.0,35.9,560670,35.9
KDC,2020-10-15,35.9,36.45,35.7,36.1,505060,36.1
KDC,2020-10-14,35.45,35.5,34.3,35.5,1062990,35.5
KDC,2020-10-13,35.85,35.95,35.2,35.45,530620,35.45
KDC,2020-10-12,36.4,36.45,35.55,35.85,642340,35.85
KDC,2020-10-09,36.5,36.5,36.0,36.15,404450,36.15
KDC,2020-10-08,36.3,36.7,36.05,36.15,657980,36.15
KDC,2020-10-07,36.75,36.85,36.05,36.05,736740,36.05
KDC,2020-10-06,36.85,37.0,36.5,36.75,471320,36.75
KDC,2020-10-05,37.3,37.3,36.5,36.75,413610,36.75
KDC,2020-10-02,36.85,36.95,36.0,36.7,597070,36.7
KDC,2020-10-01,36.6,36.7,36.3,36.7,537090,36.7
KDC,2020-09-30,36.5,36.95,36.2,36.5,602870,36.5
KDC,2020-09-29,37.0,37.4,36.25,36.5,697070,36.5
