name,date,open,high,low,close,volume,adj_close
KDH,2020-10-26,24.45,24.75,24.4,24.6,681450,24.6
KDH,2020-10-23,23.95,24.4,23.9,24.4,1239270,24.4
KDH,2020-10-22,23.95,24.0,23.85,23.95,1380110,23.95
KDH,2020-10-21,24.0,24.0,23.85,23.95,369330,23.95
KDH,2020-10-20,23.85,24.3,23.75,23.9,811810,23.9
KDH,2020-10-19,23.75,23.8,23.6,23.7,776120,23.7
KDH,2020-10-16,23.9,23.9,23.6,23.75,683570,23.75
KDH,2020-10-15,23.95,23.95,23.6,23.95,541610,23.95
KDH,2020-10-14,23.7,24.05,23.65,24.0,261800,24.0
KDH,2020-10-13,24.0,24.1,23.6,23.85,850770,23.85
KDH,2020-10-12,24.3,24.3,24.0,24.1,687060,24.1
KDH,2020-10-09,24.25,24.3,23.95,24.25,440240,24.25
KDH,2020-10-08,24.6,24.6,24.15,24.25,491910,24.25
KDH,2020-10-07,24.9,24.9,24.55,24.6,406060,24.6
KDH,2020-10-06,24.95,25.15,24.75,24.9,918350,24.9
KDH,2020-10-05,24.25,24.8,24.2,24.7,716860,24.7
KDH,2020-10-02,24.35,24.35,23.85,24.25,928170,24.25
KDH,2020-10-01,24.3,24.4,24.25,24.35,360380,24.35
KDH,2020-09-30,24.35,24.4,24.0,24.25,541530,24.25
KDH,2020-09-29,24.2,24.45,24.1,24.4,458040,24.4
