name,date,open,high,low,close,volume,adj_close
KOS,2020-10-26,34.6,35.0,34.6,34.8,484540,34.8
KOS,2020-10-23,33.8,34.6,33.7,34.4,481150,34.4
KOS,2020-10-22,33.7,34.1,33.5,33.9,491000,33.9
KOS,2020-10-21,33.5,34.2,33.5,33.8,494810,33.8
KOS,2020-10-20,33.6,33.7,32.8,33.5,398990,33.5
KOS,2020-10-19,34.0,34.1,33.5,33.6,525640,33.6
KOS,2020-10-16,33.1,33.9,33.0,33.7,551700,33.7
KOS,2020-10-15,32.9,33.5,32.8,33.3,533010,33.3
KOS,2020-10-14,32.6,33.1,31.9,33.0,1061380,33.0
KOS,2020-10-13,33.1,33.3,32.4,32.6,636160,32.6
KOS,2020-10-12,32.8,33.2,32.8,33.0,738870,33.0
KOS,2020-10-09,32.1,32.7,31.6,32.5,840780,32.5
KOS,2020-10-08,32.8,33.0,31.9,32.3,649770,32.3
KOS,2020-10-07,31.8,32.8,31.4,32.6,765780,32.6
KOS,2020-10-06,32.2,32.7,31.6,32.0,651230,32.0
KOS,2020-10-05,31.4,32.3,31.1,32.1,693840,32.1
KOS,2020-10-02,31.3,31.7,31.2,31.6,684600,31.6
KOS,2020-10-01,30.8,31.5,30.7,31.4,624810,31.4
KOS,2020-09-30,30.4,31.0,30.3,30.9,282640,30.9
KOS,2020-09-29,30.4,30.9,30.2,30.5,848980,30.5
