name,date,open,high,low,close,volume,adj_close
KSB,2020-10-26,30.35,30.5,28.8,28.8,1277220,28.8
KSB,2020-10-23,30.3,30.7,30.15,30.35,544750,30.35
KSB,2020-10-22,30.1,30.4,29.8,30.3,494910,30.3
KSB,2020-10-21,31.6,31.6,30.1,30.1,1784510,30.1
KSB,2020-10-20,31.6,31.9,30.9,31.3,878700,31.3
KSB,2020-10-19,31.3,32.0,31.0,31.6,1156630,31.6
KSB,2020-10-16,30.6,31.25,30.3,31.0,1259570,31.0
KSB,2020-10-15,30.9,31.05,30.2,30.25,588310,30.25
KSB,2020-10-14,30.45,31.2,30.0,30.95,898760,30.95
KSB,2020-10-13,30.4,30.45,29.9,30.0,797200,30.0
KSB,2020-10-12,31.45,31.7,30.2,30.35,1206020,30.35
KSB,2020-10-09,31.0,31.6,30.9,31.2,611070,31.2
KSB,2020-10-08,31.9,32.1,30.8,31.0,1775210,31.0
KSB,2020-10-07,32.4,32.6,31.9,31.9,1439850,31.9
KSB,2020-10-06,32.8,32.8,32.2,32.45,1079250,32.45
KSB,2020-10-05,31.5,32.8,31.4,32.75,2137510,32.75
KSB,2020-10-02,30.6,31.25,30.0,31.1,2120760,31.1
KSB,2020-10-01,30.6,31.1,30.35,30.5,1105240,30.5
KSB,2020-09-30,30.1,30.75,29.9,30.35,1009460,30.35
KSB,2020-09-29,30.8,30.8,30.0,30.05,1593830,30.05
