name,date,open,high,low,close,volume,adj_close
LDG,2020-10-26,6.52,6.65,6.45,6.45,5580410,6.45
LDG,2020-10-23,6.85,6.85,6.6,6.6,3869790,6.6
LDG,2020-10-22,6.64,6.8,6.5,6.79,5436070,6.79
LDG,2020-10-21,7.0,7.03,6.7,6.74,7389230,6.74
LDG,2020-10-20,7.14,7.14,7.02,7.06,2841810,7.06
LDG,2020-10-19,7.0,7.15,6.98,7.14,3167980,7.14
LDG,2020-10-16,6.88,7.09,6.8,6.96,4167210,6.96
LDG,2020-10-15,7.07,7.12,6.93,6.93,4147260,6.93
LDG,2020-10-14,7.1,7.18,7.07,7.07,2405420,7.07
LDG,2020-10-13,7.07,7.19,7.04,7.1,3375660,7.1
LDG,2020-10-12,7.31,7.4,7.03,7.07,5929090,7.07
LDG,2020-10-09,7.24,7.33,7.16,7.26,2440870,7.26
LDG,2020-10-08,7.34,7.35,7.11,7.18,4970680,7.18
LDG,2020-10-07,7.4,7.51,7.3,7.33,5745940,7.33
LDG,2020-10-06,7.5,7.5,7.1,7.41,4199100,7.41
LDG,2020-10-05,7.15,7.57,7.14,7.4,8676800,7.4
LDG,2020-10-02,7.13,7.15,6.7,7.1,7008540,7.1
LDG,2020-10-01,6.99,7.2,6.96,7.1,4498870,7.1
LDG,2020-09-30,6.61,6.87,6.61,6.87,3151430,6.87
LDG,2020-09-29,6.88,6.92,6.6,6.61,5109450,6.61
