name,date,open,high,low,close,volume,adj_close
MBB,2020-10-26,18.8,18.85,18.4,18.4,8875780,18.4
MBB,2020-10-23,19.0,19.0,18.65,18.85,6605720,18.85
MBB,2020-10-22,18.65,18.8,18.4,18.8,7256230,18.8
MBB,2020-10-21,18.9,19.05,18.55,18.55,9500440,18.55
MBB,2020-10-20,18.3,18.75,18.25,18.7,10529370,18.7
MBB,2020-10-19,18.0,18.35,18.0,18.25,10589820,18.25
MBB,2020-10-16,17.75,17.9,17.7,17.85,9150340,17.85
MBB,2020-10-15,17.7,17.7,17.55,17.6,4262410,17.6
MBB,2020-10-14,17.4,17.75,17.4,17.65,4923620,17.65
MBB,2020-10-13,17.6,17.6,17.35,17.5,4053540,17.5
MBB,2020-10-12,17.65,17.75,17.45,17.55,4828180,17.55
MBB,2020-10-09,17.65,17.7,17.55,17.55,3873190,17.55
MBB,2020-10-08,17.9,17.9,17.6,17.65,6874020,17.65
MBB,2020-10-07,17.75,17.8,17.6,17.6,7245090,17.6
MBB,2020-10-06,17.95,17.95,17.7,17.85,7113210,17.85
MBB,2020-10-05,17.5,17.8,17.5,17.7,10749710,17.7
MBB,2020-10-02,19.9,20.0,19.65,19.85,10888220,17.26
MBB,2020-10-01,19.9,20.0,19.7,19.85,7966350,17.26
MBB,2020-09-30,19.65,19.8,19.55,19.75,4772210,17.17
MBB,2020-09-29,20.0,20.05,19.65,19.65,7980230,17.09
